YOSHINAGA Kazuki POSITION,YOSHINAGA Kazuki LAP TIME,YOSHINAGA Kazuki ELAPSED TIME,DION Pascal POSITION,DION Pascal LAP TIME,DION Pascal ELAPSED TIME,Triphop THONGNGAM POSITION,Triphop THONGNGAM LAP TIME,Triphop THONGNGAM ELAPSED TIME,Muhammed Emir HAN POSITION,Muhammed Emir HAN LAP TIME,Muhammed Emir HAN ELAPSED TIME,WILCZYK Szymon POSITION,WILCZYK Szymon LAP TIME,WILCZYK Szymon ELAPSED TIME
1,12.27,12.27,2,12.34,12.34,4,12.64,12.64,5,12.90,12.90,3,12.47,12.47
2,9.59,21.86,1,9.50,21.84,5,9.50,22.14,4,9.23,22.13,3,9.50,21.97
2,9.55,31.41,1,9.46,31.30,5,9.61,31.75,3,9.41,31.54,3,9.57,31.54
2,9.59,41.00,1,9.57,40.87,5,9.67,41.42,4,9.74,41.28,3,9.57,41.11
2,9.46,50.46,1,9.48,50.35,5,9.39,50.81,4,9.46,50.74,3,9.45,50.56
2,9.21,59.67,1,9.17,59.52,5,9.41,1:00.22,4,9.41,1:00.15,3,9.24,59.80
1,8.91,1:08.58,2,9.16,1:08.68,4,9.53,1:09.75,5,10.02,1:10.17,3,9.17,1:08.97
1,9.03,1:17.61,2,9.07,1:17.75,4,9.67,1:19.42,5,10.77,1:20.94,3,9.34,1:18.31
1,9.04,1:26.65,2,9.26,1:27.01,4,10.14,1:29.56,5,11.77,1:32.71,3,9.96,1:28.27
