Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,WANG Meng POSITION,WANG Meng LAP TIME,WANG Meng ELAPSED TIME
2,14.20,14.20,3,14.33,14.33,1,14.05,14.05,4,14.50,14.50
2,11.04,25.24,3,11.04,25.37,1,11.09,25.14,4,11.02,25.52
2,10.93,36.17,3,10.92,36.29,1,10.93,36.07,4,10.90,36.42
2,10.89,47.06,3,10.89,47.18,1,10.87,46.94,4,10.90,47.32
2,10.66,57.72,3,10.69,57.87,1,10.69,57.63,4,10.68,58.00
2,10.46,1:08.18,3,10.45,1:08.32,1,10.45,1:08.08,4,10.45,1:08.45
1,9.51,1:17.69,3,9.66,1:17.98,2,9.84,1:17.92,4,9.72,1:18.17
1,9.02,1:26.71,3,9.15,1:27.13,2,9.12,1:27.04,4,9.08,1:27.25
1,9.18,1:35.888,3,9.11,1:36.240,2,9.07,1:36.102,4,9.16,1:36.407
