Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Julie JUNG POSITION,Julie JUNG LAP TIME,Julie JUNG ELAPSED TIME,Marina GEORGIEVA-NIKOLOVA POSITION,Marina GEORGIEVA-NIKOLOVA LAP TIME,Marina GEORGIEVA-NIKOLOVA ELAPSED TIME,Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME
3,14.05,14.05,2,13.94,13.94,4,14.18,14.18,1,13.85,13.85
3,11.45,25.50,2,11.44,25.38,4,11.40,25.58,1,11.42,25.27
3,11.42,36.92,1,11.28,36.66,4,11.45,37.03,2,11.49,36.76
1,10.33,47.25,4,10.97,47.63,3,10.57,47.60,2,10.67,47.43
1,10.31,57.56,4,10.26,57.89,3,10.13,57.73,2,10.14,57.57
2,10.01,1:07.57,4,9.96,1:07.85,3,9.94,1:07.67,1,9.89,1:07.46
2,9.75,1:17.32,4,9.98,1:17.83,3,9.73,1:17.40,1,9.79,1:17.25
2,9.61,1:26.93,4,10.35,1:28.18,3,9.76,1:27.16,1,9.67,1:26.92
1,9.71,1:36.640,4,11.05,1:39.230,3,9.83,1:36.985,2,9.96,1:36.875
