Alexander FATHOULLIN POSITION,Alexander FATHOULLIN LAP TIME,Alexander FATHOULLIN ELAPSED TIME,Klaudio NASRI POSITION,Klaudio NASRI LAP TIME,Klaudio NASRI ELAPSED TIME,BLUNDEN Keanu POSITION,BLUNDEN Keanu LAP TIME,BLUNDEN Keanu ELAPSED TIME,Billy SIMMS POSITION,Billy SIMMS LAP TIME,Billy SIMMS ELAPSED TIME,XU Fu POSITION,XU Fu LAP TIME,XU Fu ELAPSED TIME
2,13.46,13.46,5,13.85,,3,13.57,13.57,1,13.31,,4,13.67,13.67
4,10.68,24.14,5,10.38,,3,10.44,24.01,1,10.44,,2,10.19,23.86
4,9.94,34.08,5,9.99,,3,9.96,33.97,1,10.00,,2,10.02,33.88
4,9.88,43.96,5,9.84,,3,9.84,43.81,1,9.88,,2,9.83,43.71
4,9.40,53.36,5,9.41,,3,9.51,53.32,1,9.51,,2,9.45,53.16
2,8.80,1:02.16,5,9.11,,4,9.15,1:02.47,3,9.20,,1,8.95,1:02.11
1,8.74,1:10.90,5,9.10,,4,9.13,1:11.60,3,9.15,,2,8.99,1:11.10
1,8.99,1:19.89,5,9.36,,4,9.36,1:20.96,3,9.39,,2,8.92,1:20.02
1,8.96,1:28.85,3,9.93,,5,10.45,1:31.41,4,10.15,,2,9.13,1:29.15
