Marco Fritz SCHUMANN POSITION,Marco Fritz SCHUMANN LAP TIME,Marco Fritz SCHUMANN ELAPSED TIME,LUEDTKE Adrian POSITION,LUEDTKE Adrian LAP TIME,LUEDTKE Adrian ELAPSED TIME,SU Jun-Peng POSITION,SU Jun-Peng LAP TIME,SU Jun-Peng ELAPSED TIME,FERCOQ Quentin POSITION,FERCOQ Quentin LAP TIME,FERCOQ Quentin ELAPSED TIME,KOIKE Katsunori POSITION,KOIKE Katsunori LAP TIME,KOIKE Katsunori ELAPSED TIME,Liam O'BRIEN POSITION,Liam O'BRIEN LAP TIME,Liam O'BRIEN ELAPSED TIME
4,9.66,9.66,5,9.82,9.82,2,9.39,9.39,6,9.97,9.97,1,9.28,9.28,3,9.53,9.53
4,13.80,23.46,5,13.77,23.59,2,13.79,23.18,6,13.68,23.65,1,13.82,23.10,3,13.80,23.33
5,13.37,36.83,3,13.15,36.74,2,13.43,36.61,6,13.39,37.04,1,13.37,36.47,3,13.41,36.74
4,11.32,48.15,1,11.11,47.85,3,11.45,48.06,6,11.28,48.32,2,11.52,47.99,5,11.42,48.16
5,11.00,59.15,1,11.03,58.88,4,11.04,59.10,6,10.87,59.19,2,10.99,58.98,3,10.93,59.09
6,9.99,1:09.14,3,10.08,1:08.96,5,9.96,1:09.06,4,9.85,1:09.04,1,9.91,1:08.89,2,9.85,1:08.94
5,9.55,1:18.69,3,9.53,1:18.49,6,9.87,1:18.93,2,9.36,1:18.40,1,9.50,1:18.39,4,9.69,1:18.63
4,9.36,1:28.05,3,9.52,1:28.01,6,9.37,1:28.30,1,9.48,1:27.88,2,9.56,1:27.95,5,9.49,1:28.12
2,9.42,1:37.47,4,9.61,1:37.62,6,9.65,1:37.95,1,9.55,1:37.43,3,9.57,1:37.52,5,9.70,1:37.82
2,9.38,1:46.85,4,9.39,1:47.01,6,9.56,1:47.51,1,9.23,1:46.66,3,9.40,1:46.92,5,9.60,1:47.42
2,9.40,1:56.25,4,9.35,1:56.36,6,9.91,1:57.42,1,9.51,1:56.17,3,9.42,1:56.34,5,9.80,1:57.22
3,9.58,2:05.83,4,10.00,2:06.36,6,10.28,2:07.70,1,9.57,2:05.74,2,9.47,2:05.81,5,10.11,2:07.33
3,9.90,2:15.73,4,10.09,2:16.45,6,10.78,2:18.48,1,9.75,2:15.49,2,9.78,2:15.59,5,10.35,2:17.68
3,10.02,2:25.729,4,10.43,2:26.859,6,11.39,2:29.850,1,9.97,2:25.440,2,9.92,2:25.495,5,10.52,2:28.20
