SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME,KONYA Zsofia POSITION,KONYA Zsofia LAP TIME,KONYA Zsofia ELAPSED TIME,VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME,ZAKHAROVA Evgeniya POSITION,ZAKHAROVA Evgeniya LAP TIME,ZAKHAROVA Evgeniya ELAPSED TIME
2,7.53,7.53,1,7.41,7.41,3,7.80,7.80,4,7.97,7.97
1,9.56,17.09,2,9.77,17.18,3,9.67,17.47,4,9.64,17.61
1,9.05,26.14,2,9.25,26.43,3,9.22,26.69,4,9.16,26.77
1,9.11,35.25,2,9.43,35.86,3,9.45,36.14,4,9.51,36.28
1,9.23,44.480,2,9.67,45.524,3,9.89,46.027,4,9.76,46.031
