Robert BECKER POSITION,Robert BECKER LAP TIME,Robert BECKER ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,Fedor ANDREYEV POSITION,Fedor ANDREYEV LAP TIME,Fedor ANDREYEV ELAPSED TIME,SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME,Bence BERES POSITION,Bence BERES LAP TIME,Bence BERES ELAPSED TIME
1,12.90,12.90,4,13.27,13.27,5,13.40,13.40,2,13.00,13.00,3,13.13,13.13
1,9.99,22.89,4,9.95,23.22,5,9.92,23.32,2,10.02,23.02,3,9.97,23.10
1,10.00,32.89,4,10.05,33.27,5,10.04,33.36,2,9.99,33.01,3,10.01,33.11
1,9.94,42.83,4,9.92,43.19,5,9.94,43.30,2,10.00,43.01,3,9.96,43.07
1,9.81,52.64,4,9.79,52.98,5,9.76,53.06,2,9.74,52.75,3,9.80,52.87
2,9.57,1:02.21,4,9.45,1:02.43,5,9.53,1:02.59,1,9.35,1:02.10,3,9.43,1:02.30
2,9.32,1:11.53,4,9.17,1:11.60,5,9.34,1:11.93,1,9.24,1:11.34,3,9.28,1:11.58
3,9.37,1:20.90,2,9.05,1:20.65,5,9.54,1:21.47,1,9.30,1:20.64,4,9.40,1:20.98
3,9.52,1:30.412,1,9.01,1:29.660,5,9.85,1:31.319,2,9.37,1:30.007,4,9.56,1:30.534
