Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Robert BECKER POSITION,Robert BECKER LAP TIME,Robert BECKER ELAPSED TIME,Satoshi SAKASHITA POSITION,Satoshi SAKASHITA LAP TIME,Satoshi SAKASHITA ELAPSED TIME,Serge PLANCHER POSITION,Serge PLANCHER LAP TIME,Serge PLANCHER ELAPSED TIME
3,7.150,7.150,1,6.993,6.993,4,9.472,9.472,2,7.089,7.089
3,9.292,16.442,1,8.952,15.945,4,11.400,20.872,2,9.098,16.186
2,8.798,25.240,3,9.634,25.579,4,12.201,33.073,1,8.851,25.037
2,9.007,34.247,3,9.031,34.609,4,13.124,46.196,1,8.877,33.914
2,9.127,43.374,3,9.112,43.722,4,12.448,58.644,1,9.405,43.318
