Matteo COMPAGNONI POSITION,Matteo COMPAGNONI LAP TIME,Matteo COMPAGNONI ELAPSED TIME,Artur SULTANGALIYEV POSITION,Artur SULTANGALIYEV LAP TIME,Artur SULTANGALIYEV ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME
4,7.49,7.49,1,7.06,7.06,3,7.48,7.48,2,7.25,7.25
4,9.53,17.02,1,9.29,16.35,3,9.24,16.72,2,9.24,16.49
4,8.84,25.86,2,8.91,25.26,3,8.72,25.44,1,8.73,25.22
4,8.91,34.77,2,9.00,34.26,3,8.82,34.26,1,8.89,34.11
3,9.18,43.946,0,,DNF,2,9.16,43.413,1,8.99,43.094
