Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME,Daisuke UEMURA POSITION,Daisuke UEMURA LAP TIME,Daisuke UEMURA ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Simon CHO POSITION,Simon CHO LAP TIME,Simon CHO ELAPSED TIME
5,13.55,13.55,3,13.25,13.25,2,13.13,13.13,1,13.13,13.13,4,13.45,13.45
5,10.08,23.63,4,10.17,23.42,1,10.18,23.31,2,10.19,23.32,3,9.96,23.41
5,9.62,33.25,4,9.72,33.14,2,9.66,32.97,3,9.74,33.06,1,9.47,32.88
5,9.61,42.86,4,9.63,42.77,1,9.51,42.48,3,9.62,42.68,2,9.70,42.58
5,9.53,52.39,4,9.48,52.25,3,9.66,52.14,1,9.29,51.97,2,9.52,52.10
5,9.32,1:01.71,4,9.34,1:01.59,3,9.36,1:01.50,1,9.31,1:01.28,2,9.28,1:01.38
5,9.04,1:10.75,4,9.06,1:10.65,3,9.06,1:10.56,1,8.96,1:10.24,2,9.00,1:10.38
4,8.85,1:19.60,3,8.88,1:19.53,5,9.08,1:19.64,1,9.10,1:19.34,2,9.04,1:19.42
4,9.49,1:29.087,3,9.32,1:28.843,5,9.65,1:29.289,1,9.31,1:28.648,2,9.40,1:28.820
