CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Peter DARAZS POSITION,Peter DARAZS LAP TIME,Peter DARAZS ELAPSED TIME,Andrej VALACH POSITION,Andrej VALACH LAP TIME,Andrej VALACH ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,Alexander SELEZNOV POSITION,Alexander SELEZNOV LAP TIME,Alexander SELEZNOV ELAPSED TIME
1,9.57,9.57,2,9.61,9.61,3,9.79,9.79,4,9.85,9.85,5,10.02,10.02
1,13.78,23.35,2,13.76,23.37,4,13.78,23.57,3,13.60,23.45,5,13.72,23.74
1,11.92,35.27,3,12.03,35.40,4,12.00,35.57,2,11.93,35.38,5,11.98,35.72
1,11.65,46.92,3,11.73,47.13,4,11.71,47.28,2,11.66,47.04,5,11.71,47.43
2,11.37,58.29,1,11.06,58.19,4,11.18,58.46,3,11.37,58.41,5,11.17,58.60
1,10.57,1:08.86,2,10.75,1:08.94,3,10.73,1:09.19,4,10.84,1:09.25,5,10.88,1:09.48
1,10.33,1:19.19,2,10.35,1:19.29,3,10.31,1:19.50,4,10.28,1:19.53,5,10.24,1:19.72
1,9.91,1:29.10,2,9.99,1:29.28,4,9.94,1:29.44,3,9.83,1:29.36,5,10.16,1:29.88
1,9.54,1:38.64,2,9.53,1:38.81,3,9.49,1:38.93,4,9.77,1:39.13,5,9.77,1:39.65
1,9.51,1:48.15,3,9.49,1:48.30,2,9.35,1:48.28,4,9.54,1:48.67,5,10.14,1:49.79
1,9.65,1:57.80,2,9.63,1:57.93,3,9.77,1:58.05,4,9.56,1:58.23,5,10.47,2:00.26
1,9.58,2:07.38,2,9.64,2:07.57,3,9.63,2:07.68,4,9.78,2:08.01,5,11.00,2:11.26
1,9.37,2:16.75,2,9.74,2:17.31,3,9.83,2:17.51,4,9.57,2:17.58,5,11.45,2:22.71
1,10.13,2:26.877,3,10.32,2:27.629,4,10.22,2:27.724,2,9.66,2:27.239,5,12.06,2:34.764
