LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Michael GILDAY POSITION,Michael GILDAY LAP TIME,Michael GILDAY ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME
1,6.85,6.85,3,6.97,6.97,4,7.07,7.07,2,6.96,6.96
2,13.11,19.96,3,17.13,24.10,4,20.17,27.24,1,9.01,15.97
2,10.84,30.80,3,11.50,35.60,4,15.45,42.69,1,8.57,24.54
2,10.13,40.93,3,9.87,45.47,4,12.16,54.85,1,8.84,33.38
1,10.66,51.583,2,11.16,56.623,0,,PEN,0,,PEN
