Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,Billy SIMMS POSITION,Billy SIMMS LAP TIME,Billy SIMMS ELAPSED TIME,KIKUCHI Kota POSITION,KIKUCHI Kota LAP TIME,KIKUCHI Kota ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Inan EREN POSITION,Inan EREN LAP TIME,Inan EREN ELAPSED TIME
1,9.50,9.50,2,9.64,9.64,3,9.89,9.89,4,10.10,10.10,5,10.43,10.43
1,11.38,20.88,2,11.36,21.00,3,11.19,21.08,4,11.05,21.15,5,10.83,21.26
1,10.95,31.83,2,10.95,31.95,3,10.96,32.04,4,10.98,32.13,5,10.99,32.25
1,10.97,42.80,2,10.94,42.89,3,10.99,43.03,4,10.98,43.11,5,10.97,43.22
1,10.76,53.56,2,10.78,53.67,3,10.78,53.81,4,10.80,53.91,5,10.81,54.03
2,10.42,1:03.98,1,10.24,1:03.91,3,10.19,1:04.00,4,10.26,1:04.17,5,10.27,1:04.30
3,9.81,1:13.79,2,9.79,1:13.70,1,9.63,1:13.63,4,9.75,1:13.92,5,9.77,1:14.07
3,9.63,1:23.42,1,9.52,1:23.22,2,9.68,1:23.31,4,9.58,1:23.50,5,9.75,1:23.82
3,9.50,1:32.92,1,9.55,1:32.77,2,9.56,1:32.87,4,9.52,1:33.02,5,9.62,1:33.44
1,9.18,1:42.10,3,9.42,1:42.19,2,9.25,1:42.12,4,9.18,1:42.20,5,9.76,1:43.20
2,9.06,1:51.16,4,9.42,1:51.61,3,9.21,1:51.33,1,8.89,1:51.09,5,10.07,1:53.27
2,9.15,2:00.31,4,9.67,2:01.28,3,9.15,2:00.48,1,8.87,1:59.96,5,10.51,2:03.78
2,9.39,2:09.70,4,10.45,2:11.73,3,9.33,2:09.81,1,9.03,2:08.99,5,10.72,2:14.50
3,10.08,2:19.778,4,11.00,2:22.722,2,9.76,2:19.563,1,9.70,2:18.685,5,10.90,2:25.398
