Claudio RINALDI POSITION,Claudio RINALDI LAP TIME,Claudio RINALDI ELAPSED TIME,Paul WORTH POSITION,Paul WORTH LAP TIME,Paul WORTH ELAPSED TIME,Robert BECKER POSITION,Robert BECKER LAP TIME,Robert BECKER ELAPSED TIME,LIU Xiao Liang POSITION,LIU Xiao Liang LAP TIME,LIU Xiao Liang ELAPSED TIME
3,13.320,13.320,2,13.270,13.270,4,13.580,13.580,1,13.060,13.060
3,10.450,23.770,2,10.410,23.690,4,10.300,23.890,1,10.340,23.400
2,9.950,33.730,3,10.060,33.750,4,10.100,34.000,1,10.120,33.530
2,9.830,43.570,3,9.820,43.570,4,9.700,43.700,1,9.850,43.390
2,9.780,53.350,3,9.810,53.390,4,9.780,53.490,1,9.770,53.160
3,9.930,1:03.280,2,9.810,1:03.210,4,9.990,1:03.480,1,9.880,1:03.050
3,9.790,1:13.080,2,9.830,1:13.040,4,9.950,1:13.440,1,9.710,1:12.770
3,9.840,1:22.920,2,9.800,1:22.850,4,10.390,1:23.830,1,9.870,1:22.640
3,10.290,1:33.220,2,10.070,1:32.930,4,10.950,1:34.790,1,10.090,1:32.740
