START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,season,competition,event,gender,round,race
3,12.70,12.70,1,12.55,12.55,2,12.63,12.63,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",5000mRelay,m,Heats,4
2,9.23,21.93,1,9.20,21.75,3,9.56,22.19,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",5000mRelay,m,Heats,4
2,9.15,31.08,1,9.24,30.99,3,9.00,31.19,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",5000mRelay,m,Heats,4
2,9.17,40.25,1,9.16,40.15,3,9.23,40.42,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",5000mRelay,m,Heats,4
2,9.18,49.43,1,9.13,49.28,3,9.18,49.60,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",5000mRelay,m,Heats,4
2,9.04,58.47,1,9.04,58.32,3,9.07,58.67,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",5000mRelay,m,Heats,4
2,9.24,1:07.71,1,8.65,1:06.97,3,9.14,1:07.81,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",5000mRelay,m,Heats,4
2,9.18,1:16.89,1,9.81,1:16.78,3,9.36,1:17.17,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",5000mRelay,m,Heats,4
2,9.24,1:26.13,1,9.20,1:25.98,3,9.13,1:26.30,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",5000mRelay,m,Heats,4
2,9.10,1:35.23,1,9.10,1:35.08,3,9.21,1:35.51,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",5000mRelay,m,Heats,4
2,9.08,1:44.31,1,9.15,1:44.23,3,9.15,1:44.66,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",5000mRelay,m,Heats,4
2,9.25,1:53.56,1,9.22,1:53.45,3,9.20,1:53.86,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",5000mRelay,m,Heats,4
2,9.23,2:02.79,1,9.11,2:02.56,3,9.10,2:02.96,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",5000mRelay,m,Heats,4
2,8.90,2:11.69,1,9.06,2:11.62,3,9.18,2:12.14,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",5000mRelay,m,Heats,4
2,9.26,2:20.95,1,9.21,2:20.83,3,8.94,2:21.08,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",5000mRelay,m,Heats,4
2,9.12,2:30.07,1,9.01,2:29.84,3,9.27,2:30.35,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",5000mRelay,m,Heats,4
2,9.02,2:39.09,1,9.04,2:38.88,3,9.18,2:39.53,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",5000mRelay,m,Heats,4
2,9.08,2:48.17,1,9.07,2:47.95,3,9.22,2:48.75,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",5000mRelay,m,Heats,4
2,9.10,2:57.27,1,8.70,2:56.65,3,8.82,2:57.57,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",5000mRelay,m,Heats,4
2,8.96,3:06.23,1,9.47,3:06.12,3,9.28,3:06.85,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",5000mRelay,m,Heats,4
2,9.22,3:15.45,1,9.21,3:15.33,3,9.03,3:15.88,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",5000mRelay,m,Heats,4
2,9.14,3:24.59,1,8.96,3:24.29,3,9.24,3:25.12,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",5000mRelay,m,Heats,4
2,9.03,3:33.62,1,8.99,3:33.28,3,9.28,3:34.40,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",5000mRelay,m,Heats,4
2,9.08,3:42.70,1,8.96,3:42.24,3,9.06,3:43.46,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",5000mRelay,m,Heats,4
