Takayuki MURATAKE POSITION,Takayuki MURATAKE LAP TIME,Takayuki MURATAKE ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,Selim TANRIKULU POSITION,Selim TANRIKULU LAP TIME,Selim TANRIKULU ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,NOH Jinkyu POSITION,NOH Jinkyu LAP TIME,NOH Jinkyu ELAPSED TIME
1,12.75,12.75,2,12.75,12.75,3,12.96,12.96,5,13.33,13.33,4,13.21,13.21
2,9.81,22.56,1,9.71,22.46,3,9.74,22.70,5,9.58,22.91,4,9.59,22.80
2,9.69,32.25,1,9.70,32.16,4,9.71,32.41,5,9.67,32.58,3,9.61,32.41
3,9.12,41.37,1,9.13,41.29,4,9.18,41.59,5,9.10,41.68,2,8.91,41.32
3,8.95,50.32,2,8.92,50.21,5,8.99,50.58,4,8.84,50.52,1,8.76,50.08
3,8.98,59.30,2,9.00,59.21,5,9.08,59.66,4,8.92,59.44,1,9.02,59.10
3,9.02,1:08.32,2,9.03,1:08.24,5,9.27,1:08.93,4,9.06,1:08.50,1,9.01,1:08.11
3,9.15,1:17.47,2,9.16,1:17.40,5,9.93,1:18.86,4,9.22,1:17.72,1,9.09,1:17.20
3,9.61,1:27.073,2,9.57,1:26.968,5,10.57,1:29.426,4,9.82,1:27.540,1,9.46,1:26.655
