Lia STEPANOVA POSITION,Lia STEPANOVA LAP TIME,Lia STEPANOVA ELAPSED TIME,YANG Shin-Young POSITION,YANG Shin-Young LAP TIME,YANG Shin-Young ELAPSED TIME,Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME
1,13.68,13.68,3,14.05,14.05,4,14.05,14.05,2,13.97,13.97
1,10.33,24.02,3,10.40,24.45,4,10.43,24.48,2,10.34,24.31
1,9.84,33.87,4,9.74,34.20,3,9.67,34.16,2,9.81,34.12
1,10.07,43.95,4,10.01,44.22,3,9.94,44.10,2,9.95,44.08
2,9.89,53.84,3,9.62,53.84,1,9.67,53.77,4,9.95,54.03
3,10.02,1:03.87,2,9.91,1:03.75,1,9.92,1:03.69,4,10.05,1:04.08
3,10.00,1:13.88,2,10.05,1:13.81,1,10.02,1:13.72,4,9.95,1:14.04
4,10.50,1:24.39,2,9.92,1:23.74,1,9.96,1:23.68,3,9.80,1:23.84
4,11.12,1:35.501,1,9.98,1:33.711,2,10.09,1:33.764,3,10.51,1:34.349
