LEE Jung Su POSITION,LEE Jung Su LAP TIME,LEE Jung Su ELAPSED TIME,SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME,Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME
2,11.93,11.93,1,11.93,11.93,4,12.26,12.26,3,12.07,12.07
1,9.40,21.33,2,9.49,21.43,4,23.65,35.91,3,9.45,21.53
1,9.24,30.58,2,9.18,30.61,4,14.73,50.65,3,9.29,30.83
2,9.43,40.01,1,9.30,39.92,4,10.88,1:01.53,3,9.35,40.18
2,9.33,49.34,1,9.41,49.33,4,10.60,1:12.14,3,9.35,49.53
1,9.17,58.51,2,9.22,58.55,4,10.69,1:22.83,3,9.18,58.71
2,9.09,1:07.60,1,9.05,1:07.60,4,10.48,1:33.32,3,8.94,1:07.66
2,9.11,1:16.72,1,9.02,1:16.63,4,16.08,1:49.40,3,9.19,1:16.85
1,9.32,1:26.040,0,,DQ,3,15.30,2:04.697,2,9.25,1:26.093
