Yuma SAKURAI POSITION,Yuma SAKURAI LAP TIME,Yuma SAKURAI ELAPSED TIME,Lucas NG POSITION,Lucas NG LAP TIME,Lucas NG ELAPSED TIME,SEO Yi Ra POSITION,SEO Yi Ra LAP TIME,SEO Yi Ra ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME
2,13.31,13.31,3,13.37,13.37,1,13.28,13.28,4,13.40,13.40
3,9.60,22.91,4,10.08,23.45,1,9.44,22.72,2,9.41,22.81
2,9.25,32.16,4,9.37,32.82,1,9.36,32.08,3,9.38,32.19
3,9.47,41.63,4,9.35,42.17,1,9.28,41.36,2,9.29,41.48
3,9.46,51.09,4,9.59,51.76,1,9.48,50.84,2,9.43,50.91
3,9.42,1:00.51,4,9.89,1:01.65,1,9.37,1:00.21,2,9.46,1:00.37
3,9.28,1:09.79,4,10.19,1:11.84,1,9.37,1:09.58,2,9.29,1:09.66
3,9.49,1:19.28,4,10.62,1:22.46,1,9.33,1:18.91,2,9.45,1:19.11
3,9.61,1:28.888,4,11.08,1:33.532,1,9.40,1:28.307,2,9.34,1:28.446
