BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Menderes EREN POSITION,Menderes EREN LAP TIME,Menderes EREN ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME
2,9.12,9.12,5,9.71,9.71,4,9.52,9.52,6,9.90,9.90,3,9.26,9.26,1,9.01,9.01
2,12.94,22.06,6,12.95,22.66,4,12.85,22.37,5,12.64,22.54,3,12.96,22.22,1,12.88,21.89
2,11.78,33.84,6,11.68,34.34,3,11.55,33.92,5,11.66,34.20,4,11.78,34.00,1,11.75,33.64
2,10.92,44.76,6,10.84,45.18,3,10.89,44.81,5,10.81,45.01,4,10.84,44.84,1,10.95,44.59
3,10.49,55.25,6,10.50,55.68,5,10.73,55.54,2,10.11,55.12,4,10.56,55.40,1,10.39,54.98
1,9.78,1:05.03,6,9.95,1:05.63,5,9.90,1:05.44,3,10.11,1:05.23,4,9.95,1:05.35,2,10.15,1:05.13
2,9.79,1:14.82,6,9.61,1:15.24,5,9.69,1:15.13,1,9.42,1:14.65,4,9.70,1:15.05,3,9.79,1:14.92
2,9.24,1:24.06,6,9.18,1:24.42,5,9.14,1:24.27,1,9.32,1:23.97,4,9.17,1:24.22,3,9.22,1:24.14
2,9.27,1:33.33,6,9.35,1:33.77,5,9.33,1:33.60,1,9.26,1:33.23,4,9.30,1:33.52,3,9.26,1:33.40
2,9.04,1:42.37,6,9.09,1:42.86,5,9.06,1:42.66,1,9.03,1:42.26,4,9.04,1:42.56,3,9.01,1:42.41
3,8.91,1:51.28,6,9.07,1:51.93,5,8.75,1:51.41,1,8.78,1:51.04,4,8.81,1:51.37,2,8.72,1:51.13
3,8.85,2:00.13,6,9.29,2:01.22,4,8.81,2:00.22,1,8.83,1:59.87,5,8.90,2:00.27,2,8.75,1:59.88
3,8.93,2:09.06,6,9.70,2:10.92,4,8.90,2:09.12,2,9.07,2:08.94,5,9.13,2:09.40,1,8.91,2:08.79
3,9.20,2:18.253,6,10.13,2:21.043,4,9.46,2:18.579,2,9.27,2:18.209,5,9.71,2:19.110,1,9.15,2:17.934
