START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,START_POS_8 POSITION,START_POS_8 LAP TIME,START_POS_8 ELAPSED TIME,season,competition,event,gender,round,race
0,21.466,21.466,0,20.891,20.891,0,21.310,21.310,0,21.491,21.491,0,21.768,21.768,0,25.771,25.771,0,20.857,20.857,0,21.945,21.945,2006-2007,"23rd Winter Universade, Italy, Torino",3000m,w,SemiFinals,1
0,15.307,36.773,0,15.412,36.303,0,15.226,36.536,0,15.161,36.652,0,15.377,37.145,0,11.829,37.600,0,15.538,36.395,0,,,2006-2007,"23rd Winter Universade, Italy, Torino",3000m,w,SemiFinals,1
0,15.580,52.353,0,15.207,51.510,0,15.172,51.708,0,15.371,52.022,0,15.064,52.209,0,14.982,52.582,0,15.062,51.457,0,,52.202,2006-2007,"23rd Winter Universade, Italy, Torino",3000m,w,SemiFinals,1
0,14.729,1:07.082,0,15.250,1:06.760,0,15.298,1:07.006,0,15.135,1:07.158,0,15.366,1:07.575,0,15.281,1:07.862,0,15.277,1:06.734,0,15.502,1:07.704,2006-2007,"23rd Winter Universade, Italy, Torino",3000m,w,SemiFinals,1
0,15.118,1:22.200,0,15.141,1:21.901,0,15.094,1:22.100,0,15.194,1:22.352,0,14.981,1:22.556,0,15.047,1:22.909,0,15.003,1:21.738,0,14.992,1:22.696,2006-2007,"23rd Winter Universade, Italy, Torino",3000m,w,SemiFinals,1
0,15.988,1:38.188,0,15.909,1:37.810,0,15.874,1:37.974,0,15.289,1:37.641,0,15.994,1:38.550,0,15.164,1:38.073,0,16.262,1:38.000,0,15.560,1:38.255,2006-2007,"23rd Winter Universade, Italy, Torino",3000m,w,SemiFinals,1
0,13.288,1:51.476,0,13.047,1:50.856,0,13.168,1:51.141,0,12.800,1:50.441,0,13.204,1:51.754,0,13.574,1:51.647,0,13.040,1:51.039,0,12.692,1:50.947,2006-2007,"23rd Winter Universade, Italy, Torino",3000m,w,SemiFinals,1
0,12.330,2:03.807,0,12.402,2:03.258,0,12.380,2:03.521,0,12.596,2:03.037,0,12.273,2:04.027,0,11.794,2:03.440,0,12.564,2:03.604,0,12.238,2:03.185,2006-2007,"23rd Winter Universade, Italy, Torino",3000m,w,SemiFinals,1
0,13.220,2:17.027,0,13.345,2:16.603,0,13.375,2:16.897,0,13.565,2:16.602,0,13.448,2:17.474,0,13.366,2:16.806,0,13.294,2:16.898,0,13.242,2:16.427,2006-2007,"23rd Winter Universade, Italy, Torino",3000m,w,SemiFinals,1
0,12.609,2:29.635,0,13.153,2:29.756,0,12.867,2:29.763,0,12.944,2:29.546,0,12.569,2:30.043,0,12.810,2:29.616,0,12.506,2:29.404,0,12.996,2:29.423,2006-2007,"23rd Winter Universade, Italy, Torino",3000m,w,SemiFinals,1
0,13.006,2:42.641,0,13.256,2:43.011,0,13.194,2:42.957,0,13.314,2:42.860,0,13.304,2:43.347,0,13.026,2:42.642,0,13.273,2:42.677,0,13.191,2:42.614,2006-2007,"23rd Winter Universade, Italy, Torino",3000m,w,SemiFinals,1
0,12.900,2:55.541,0,12.951,2:55.962,0,13.112,2:56.069,0,12.955,2:55.815,0,12.746,2:56.094,0,12.797,2:55.439,0,12.994,2:55.671,0,13.177,2:55.791,2006-2007,"23rd Winter Universade, Italy, Torino",3000m,w,SemiFinals,1
0,12.785,3:08.326,0,12.949,3:08.912,0,12.936,3:09.004,0,12.827,3:08.641,0,12.188,3:08.282,0,12.940,3:08.379,0,13.113,3:08.784,0,12.707,3:08.497,2006-2007,"23rd Winter Universade, Italy, Torino",3000m,w,SemiFinals,1
0,12.805,3:21.131,0,12.826,3:21.737,0,12.833,3:21.837,0,12.490,3:21.131,0,13.023,3:21.304,0,12.774,3:21.152,0,13.166,3:21.950,0,12.936,3:21.433,2006-2007,"23rd Winter Universade, Italy, Torino",3000m,w,SemiFinals,1
0,12.817,3:33.948,0,11.981,3:33.718,0,11.916,3:33.753,0,13.084,3:34.215,0,12.710,3:34.014,0,13.014,3:34.167,0,11.653,3:33.603,0,12.906,3:34.339,2006-2007,"23rd Winter Universade, Italy, Torino",3000m,w,SemiFinals,1
0,11.629,3:45.577,0,11.632,3:45.350,0,11.388,3:45.141,0,11.704,3:45.920,0,11.689,3:45.703,0,11.454,3:45.621,0,11.634,3:45.236,0,11.581,3:45.920,2006-2007,"23rd Winter Universade, Italy, Torino",3000m,w,SemiFinals,1
0,12.143,3:57.720,0,12.208,3:57.559,0,12.302,3:57.443,0,12.169,3:58.088,0,12.336,3:58.039,0,12.216,3:57.837,0,12.447,3:57.684,0,12.050,3:57.970,2006-2007,"23rd Winter Universade, Italy, Torino",3000m,w,SemiFinals,1
0,11.207,4:08.927,0,11.131,4:08.690,0,11.312,4:08.755,0,10.881,4:08.969,0,11.135,4:09.175,0,10.957,4:08.794,0,11.385,4:09.069,0,11.157,4:09.127,2006-2007,"23rd Winter Universade, Italy, Torino",3000m,w,SemiFinals,1
0,11.207,4:20.134,0,10.974,4:19.664,0,11.282,4:20.037,0,11.350,4:20.319,0,10.863,4:20.037,0,10.842,4:19.636,0,11.036,4:20.105,0,11.182,4:20.309,2006-2007,"23rd Winter Universade, Italy, Torino",3000m,w,SemiFinals,1
0,10.267,4:30.401,0,11.088,4:30.752,0,10.399,4:30.436,0,10.865,4:31.184,0,11.036,4:31.073,0,11.176,4:30.812,0,10.970,4:31.075,0,10.886,4:31.195,2006-2007,"23rd Winter Universade, Italy, Torino",3000m,w,SemiFinals,1
0,10.930,4:41.331,0,10.955,4:41.707,0,10.950,4:41.386,0,10.148,4:41.332,0,10.875,4:41.949,0,10.688,4:41.500,0,9.970,4:41.045,0,10.591,4:41.787,2006-2007,"23rd Winter Universade, Italy, Torino",3000m,w,SemiFinals,1
0,9.667,4:50.998,0,9.999,4:51.706,0,9.852,4:51.238,0,9.401,4:50.733,0,9.881,4:51.830,0,9.953,4:51.452,0,9.627,4:50.672,0,9.943,4:51.730,2006-2007,"23rd Winter Universade, Italy, Torino",3000m,w,SemiFinals,1
0,10.035,5:01.033,0,10.000,5:01.706,0,9.854,5:01.092,0,10.040,5:00.773,0,9.823,5:01.653,0,9.841,5:01.294,0,10.212,5:00.884,0,9.540,5:01.269,2006-2007,"23rd Winter Universade, Italy, Torino",3000m,w,SemiFinals,1
