Milada DOSLA POSITION,Milada DOSLA LAP TIME,Milada DOSLA ELAPSED TIME,Marina LUKANOVA POSITION,Marina LUKANOVA LAP TIME,Marina LUKANOVA ELAPSED TIME,KONG Sangjeong POSITION,KONG Sangjeong LAP TIME,KONG Sangjeong ELAPSED TIME,Anastassiya KRESTOVA POSITION,Anastassiya KRESTOVA LAP TIME,Anastassiya KRESTOVA ELAPSED TIME,KIKUCHI Sumire POSITION,KIKUCHI Sumire LAP TIME,KIKUCHI Sumire ELAPSED TIME
1,15.77,15.77,3,16.04,16.04,2,15.95,15.95,5,16.25,16.25,4,16.08,16.08
1,12.25,28.02,5,12.32,28.36,3,12.30,28.25,4,12.10,28.35,2,12.06,28.14
1,11.72,39.74,5,11.84,40.20,4,11.84,40.09,3,11.62,39.97,2,11.73,39.87
2,11.56,51.30,5,11.57,51.77,4,11.50,51.59,3,11.45,51.42,1,11.42,51.29
4,10.71,1:02.01,5,10.38,1:02.15,3,10.35,1:01.94,2,10.41,1:01.83,1,10.42,1:01.71
4,10.34,1:12.35,5,10.55,1:12.70,2,10.10,1:12.04,3,10.26,1:12.09,1,10.26,1:11.97
4,10.10,1:22.45,5,10.41,1:23.11,1,9.38,1:21.42,3,9.88,1:21.97,2,9.75,1:21.72
4,10.43,1:32.88,5,10.86,1:33.97,1,9.52,1:30.94,3,9.88,1:31.85,2,9.57,1:31.29
4,10.83,1:43.706,5,11.54,1:45.510,1,9.72,1:40.660,3,10.29,1:42.135,2,9.73,1:41.019
