JUNG Hyun Woo (Andy) POSITION,JUNG Hyun Woo (Andy) LAP TIME,JUNG Hyun Woo (Andy) ELAPSED TIME,REN Haobo POSITION,REN Haobo LAP TIME,REN Haobo ELAPSED TIME,Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME,GIORDANO Marco POSITION,GIORDANO Marco LAP TIME,GIORDANO Marco ELAPSED TIME
3,13.08,13.08,2,12.95,12.95,4,13.30,13.30,1,12.88,12.88
1,10.05,23.13,3,10.38,23.33,4,10.15,23.45,2,10.37,23.25
1,9.93,33.06,2,9.90,33.23,4,10.00,33.45,2,9.98,33.23
1,9.54,42.60,2,9.44,42.67,4,9.43,42.88,3,9.52,42.75
1,9.59,52.19,2,9.61,52.28,4,9.67,52.55,3,9.67,52.42
1,9.53,1:01.72,2,9.53,1:01.81,3,9.29,1:01.84,4,9.52,1:01.94
1,9.33,1:11.05,2,9.38,1:11.19,3,9.43,1:11.27,3,9.33,1:11.27
1,9.35,1:20.40,2,9.26,1:20.45,3,9.29,1:20.56,4,9.42,1:20.69
3,9.70,1:30.079,1,9.28,1:29.73,2,9.50,1:30.06,4,9.51,1:30.171
