Maksim SIARHEYU POSITION,Maksim SIARHEYU LAP TIME,Maksim SIARHEYU ELAPSED TIME,JUNG Hyun Woo (Andy) POSITION,JUNG Hyun Woo (Andy) LAP TIME,JUNG Hyun Woo (Andy) ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,PARK Se Yeong POSITION,PARK Se Yeong LAP TIME,PARK Se Yeong ELAPSED TIME
2,13.39,13.39,4,13.44,13.44,1,13.28,13.28,3,13.40,13.40
2,10.30,23.69,4,10.40,23.84,1,10.39,23.67,3,10.43,23.83
4,9.97,33.66,2,9.69,33.53,3,9.93,33.60,1,9.57,33.40
4,9.75,43.41,2,9.63,43.16,3,9.71,43.31,1,9.66,43.06
4,9.48,52.89,2,9.46,52.62,3,9.45,52.76,1,9.46,52.52
4,9.31,1:02.20,2,9.36,1:01.98,3,9.32,1:02.08,1,9.34,1:01.86
4,9.39,1:11.59,2,9.31,1:11.29,3,9.28,1:11.36,1,9.30,1:11.16
4,9.48,1:21.07,2,9.35,1:20.64,3,9.29,1:20.65,1,9.19,1:20.35
4,9.62,1:30.684,3,9.75,1:30.390,2,9.19,1:29.837,1,9.46,1:29.801
