Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME,SEO Yi Ra POSITION,SEO Yi Ra LAP TIME,SEO Yi Ra ELAPSED TIME,AYRAPETYAN Denis POSITION,AYRAPETYAN Denis LAP TIME,AYRAPETYAN Denis ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME,REN Ziwei POSITION,REN Ziwei LAP TIME,REN Ziwei ELAPSED TIME
2,12.36,12.36,3,12.44,12.44,6,12.82,,5,12.69,12.69,4,12.56,12.56,1,12.28,12.28
2,9.59,21.95,2,9.51,21.95,6,9.60,,4,9.52,22.21,5,9.74,22.30,1,9.66,21.94
2,9.22,31.17,1,9.10,31.05,6,9.10,,3,9.04,31.25,5,9.10,31.40,4,9.34,31.28
2,9.37,40.54,1,9.38,40.43,6,9.39,,3,9.38,40.63,5,9.42,40.82,4,9.44,40.72
1,9.01,49.55,2,9.20,49.63,6,9.20,,3,9.12,49.75,5,9.14,49.96,4,9.12,49.84
1,9.07,58.62,2,9.06,58.69,6,8.95,,3,9.05,58.80,5,9.08,59.04,4,9.05,58.89
1,9.03,1:07.65,2,9.02,1:07.71,4,8.90,,3,9.03,1:07.83,5,9.03,1:08.07,6,9.25,1:08.14
1,9.01,1:16.66,2,8.96,1:16.67,4,8.97,,3,8.98,1:16.81,6,9.02,1:17.09,5,8.92,1:17.06
3,9.02,1:25.687,1,8.76,1:25.432,4,8.84,,2,8.72,1:25.531,5,9.21,1:26.304,4,8.79,1:25.856
