LIM Yong Jin POSITION,LIM Yong Jin LAP TIME,LIM Yong Jin ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME,JUNG Hyun Woo (Andy) POSITION,JUNG Hyun Woo (Andy) LAP TIME,JUNG Hyun Woo (Andy) ELAPSED TIME,LEE Seonghun POSITION,LEE Seonghun LAP TIME,LEE Seonghun ELAPSED TIME,Chris CREVELING POSITION,Chris CREVELING LAP TIME,Chris CREVELING ELAPSED TIME
4,13.19,13.19,3,12.97,12.97,1,12.48,12.48,2,12.75,12.75,5,13.41,13.41,6,13.59,13.59
4,19.78,32.97,3,19.80,32.77,1,19.79,32.27,2,19.81,32.56,5,19.75,33.16,6,19.76,33.35
4,16.07,49.04,3,16.09,48.86,1,16.18,48.45,2,16.09,48.65,5,16.06,49.22,6,16.04,49.39
4,14.42,1:03.46,3,14.43,1:03.29,1,14.42,1:02.87,2,14.47,1:03.12,5,14.42,1:03.64,6,14.49,1:03.88
2,12.22,1:15.68,3,12.45,1:15.74,1,12.78,1:15.65,4,12.64,1:15.76,5,12.39,1:16.03,6,12.30,1:16.18
1,10.28,1:25.96,2,10.31,1:26.05,4,10.66,1:26.31,3,10.34,1:26.10,5,10.29,1:26.32,6,10.33,1:26.51
2,9.91,1:35.87,3,9.93,1:35.98,5,9.79,1:36.10,4,9.98,1:36.08,1,9.44,1:35.76,6,9.79,1:36.30
1,9.34,1:45.21,2,9.33,1:45.31,4,9.41,1:45.51,5,9.50,1:45.58,3,9.64,1:45.40,6,9.39,1:45.69
1,9.34,1:54.55,2,9.29,1:54.60,3,9.20,1:54.71,6,9.41,1:54.99,4,9.49,1:54.89,5,9.21,1:54.90
3,9.13,2:03.68,1,8.98,2:03.58,2,8.93,2:03.64,6,9.01,2:04.00,5,8.99,2:03.88,4,8.88,2:03.78
4,9.24,2:12.92,1,9.08,2:12.66,2,9.10,2:12.74,6,9.18,2:13.18,5,9.15,2:13.03,3,9.05,2:12.83
4,9.14,2:22.06,1,9.04,2:21.70,2,9.07,2:21.81,6,9.19,2:22.37,5,9.13,2:22.16,3,9.15,2:21.98
3,8.77,2:30.83,1,8.89,2:30.59,2,8.87,2:30.68,6,9.41,2:31.78,5,9.10,2:31.26,4,9.06,2:31.04
2,8.86,2:39.69,1,9.03,2:39.62,3,9.07,2:39.75,6,10.16,2:41.917,5,9.63,2:40.871,4,9.16,2:40.20
