Jack BURROWS POSITION,Jack BURROWS LAP TIME,Jack BURROWS ELAPSED TIME,GEORGIEV Dimitar POSITION,GEORGIEV Dimitar LAP TIME,GEORGIEV Dimitar ELAPSED TIME,Yauheni RYZHOU POSITION,Yauheni RYZHOU LAP TIME,Yauheni RYZHOU ELAPSED TIME,NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME,Tomass BAKEVICS POSITION,Tomass BAKEVICS LAP TIME,Tomass BAKEVICS ELAPSED TIME
1,6.98,6.98,4,7.27,7.27,2,7.14,7.14,3,7.16,7.16,5,7.47,7.47
1,9.14,16.12,3,9.35,16.62,5,9.71,16.85,2,9.27,16.43,4,9.29,16.76
1,8.61,24.73,4,9.01,25.63,5,11.68,28.53,2,8.49,24.92,3,8.76,25.52
2,8.76,33.49,4,9.07,34.70,5,11.48,40.01,1,8.47,33.39,3,9.04,34.56
2,8.88,42.359,4,9.18,43.877,5,12.11,52.104,1,8.71,42.092,3,9.18,43.727
