Olena KORINCHUK POSITION,Olena KORINCHUK LAP TIME,Olena KORINCHUK ELAPSED TIME,Jessica GREGG POSITION,Jessica GREGG LAP TIME,Jessica GREGG ELAPSED TIME,Lenka SNYDROVA POSITION,Lenka SNYDROVA LAP TIME,Lenka SNYDROVA ELAPSED TIME,SANDECK Juliane POSITION,SANDECK Juliane LAP TIME,SANDECK Juliane ELAPSED TIME
4,17.945,17.945,1,17.570,17.570,3,17.872,17.872,2,17.627,17.627
4,14.095,32.040,1,14.080,31.649,3,14.090,31.962,2,14.100,31.727
4,12.834,44.873,2,12.973,44.622,3,12.825,44.786,1,12.850,44.577
4,11.402,56.274,2,11.328,55.950,3,11.345,56.131,1,11.371,55.948
4,11.034,1:07.308,2,10.851,1:06.800,3,10.900,1:07.030,1,10.833,1:06.781
4,10.977,1:18.284,1,10.557,1:17.356,3,11.209,1:18.239,2,10.727,1:17.507
3,11.633,1:29.916,1,10.443,1:27.799,4,11.765,1:30.004,2,10.746,1:28.253
3,11.820,1:41.736,1,10.372,1:38.170,4,11.939,1:41.942,2,10.950,1:39.202
3,11.43,1:53.159,1,10.97,1:49.136,4,11.50,1:53.438,2,11.07,1:50.271
