Michaela KUNCIROVA POSITION,Michaela KUNCIROVA LAP TIME,Michaela KUNCIROVA ELAPSED TIME,Assel TAISHMANOVA POSITION,Assel TAISHMANOVA LAP TIME,Assel TAISHMANOVA ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME,MALISZEWSKA Natalia POSITION,MALISZEWSKA Natalia LAP TIME,MALISZEWSKA Natalia ELAPSED TIME,ZHANG Yuting POSITION,ZHANG Yuting LAP TIME,ZHANG Yuting ELAPSED TIME
2,7.72,7.72,5,8.02,8.02,4,7.88,7.88,1,7.32,7.32,3,7.80,7.80
4,10.17,17.89,3,9.79,17.81,2,9.76,17.64,1,9.49,16.81,4,10.09,17.89
4,9.59,27.48,3,9.33,27.14,2,8.99,26.63,1,9.07,25.88,5,9.73,27.62
4,9.31,36.79,3,9.46,36.60,2,9.07,35.70,1,9.39,35.27,5,9.29,36.91
3,9.50,46.29,4,9.74,46.341,2,9.24,44.94,1,9.65,44.92,5,9.55,46.460
