BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Cole William Isaac KRUEGER POSITION,Cole William Isaac KRUEGER LAP TIME,Cole William Isaac KRUEGER ELAPSED TIME,ADAMSKI Pawel POSITION,ADAMSKI Pawel LAP TIME,ADAMSKI Pawel ELAPSED TIME,OLAH Bence POSITION,OLAH Bence LAP TIME,OLAH Bence ELAPSED TIME,Sebastien GAGNON POSITION,Sebastien GAGNON LAP TIME,Sebastien GAGNON ELAPSED TIME
2,10.42,10.42,4,10.64,10.64,3,10.56,10.56,1,10.29,10.29,6,10.81,10.81,5,10.65,10.65
1,15.12,25.54,4,15.34,25.98,3,15.28,25.84,2,15.38,25.67,6,15.56,26.37,5,15.53,26.18
1,13.06,38.60,4,13.14,39.12,3,13.08,38.92,2,13.08,38.75,6,13.01,39.38,5,13.08,39.26
1,12.15,50.75,5,11.97,51.09,3,12.04,50.96,2,12.10,50.85,6,11.86,51.24,4,11.78,51.04
1,11.86,1:02.61,5,12.02,1:03.11,4,12.05,1:03.01,2,11.89,1:02.74,6,12.02,1:03.26,3,11.86,1:02.90
2,11.47,1:14.08,3,11.06,1:14.17,4,11.26,1:14.27,5,11.54,1:14.28,6,11.20,1:14.46,1,11.04,1:13.94
1,10.35,1:24.43,3,10.54,1:24.71,5,10.61,1:24.88,4,10.56,1:24.84,6,10.53,1:24.99,2,10.66,1:24.60
1,10.11,1:34.54,3,10.04,1:34.75,5,10.05,1:34.93,4,9.93,1:34.77,6,10.09,1:35.08,2,10.07,1:34.67
1,9.78,1:44.32,3,9.81,1:44.56,5,9.80,1:44.73,4,9.90,1:44.67,6,9.69,1:44.77,2,9.78,1:44.45
1,9.51,1:53.83,6,9.64,1:54.20,5,9.44,1:54.17,3,9.41,1:54.08,4,9.38,1:54.15,2,9.47,1:53.92
1,9.24,2:03.07,3,9.12,2:03.32,5,9.19,2:03.36,4,9.27,2:03.35,6,9.43,2:03.58,2,9.30,2:03.22
1,9.18,2:12.25,4,9.26,2:12.58,3,9.09,2:12.45,5,9.44,2:12.79,5,9.21,2:12.79,2,9.11,2:12.33
1,9.13,2:21.38,4,9.11,2:21.69,3,9.15,2:21.60,6,9.46,2:22.25,5,9.20,2:21.99,2,9.18,2:21.51
1,9.20,2:30.58,4,9.30,2:30.99,3,9.15,2:30.75,6,9.78,2:32.03,5,9.25,2:31.24,2,9.14,2:30.65
