LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Hironobu MURATAKE POSITION,Hironobu MURATAKE LAP TIME,Hironobu MURATAKE ELAPSED TIME,SHAO Shuai POSITION,SHAO Shuai LAP TIME,SHAO Shuai ELAPSED TIME,CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME
3,13.55,,5,13.82,13.82,2,13.42,13.42,4,13.68,13.68,1,13.35,13.35
3,10.28,,5,10.20,24.02,1,10.07,23.49,4,10.25,23.93,2,10.31,23.66
3,9.72,,5,9.80,33.82,2,9.92,33.41,4,9.74,33.67,1,9.72,33.38
3,9.62,,5,9.59,43.41,2,9.75,43.16,4,9.67,43.34,1,9.69,43.07
4,9.74,,3,9.44,52.85,5,26.75,1:09.91,2,9.42,52.76,1,9.52,52.59
4,9.28,,2,9.16,1:02.01,5,16.56,1:26.47,3,9.26,1:02.02,1,9.32,1:01.91
3,9.27,,2,9.33,1:11.34,5,12.15,1:38.62,3,9.44,1:11.46,1,9.33,1:11.24
3,9.22,,2,9.21,1:20.55,5,11.69,1:50.31,4,9.48,1:20.94,1,9.19,1:20.43
3,9.22,,2,9.30,1:29.85,5,11.59,2:01.90,4,9.61,1:30.55,1,9.28,1:29.71
