Safiya VLASOVA POSITION,Safiya VLASOVA LAP TIME,Safiya VLASOVA ELAPSED TIME,Tina GRASSOW POSITION,Tina GRASSOW LAP TIME,Tina GRASSOW ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME
2,7.56,7.56,3,7.60,7.60,1,7.27,7.27,4,7.64,7.64
2,9.81,17.37,3,9.85,17.45,1,9.58,16.85,4,9.82,17.46
3,9.50,26.87,4,9.50,26.95,1,9.00,25.85,2,9.09,26.55
4,9.80,36.67,3,9.62,36.57,1,9.21,35.06,2,9.13,35.68
4,10.14,46.803,3,9.53,46.095,1,9.57,44.630,2,9.42,45.099
