SONG Jia Hua POSITION,SONG Jia Hua LAP TIME,SONG Jia Hua ELAPSED TIME,PARK Ji Won POSITION,PARK Ji Won LAP TIME,PARK Ji Won ELAPSED TIME,KIM Dagyeom POSITION,KIM Dagyeom LAP TIME,KIM Dagyeom ELAPSED TIME,DANDJINOU William POSITION,DANDJINOU William LAP TIME,DANDJINOU William ELAPSED TIME,KOIKE Katsunori POSITION,KOIKE Katsunori LAP TIME,KOIKE Katsunori ELAPSED TIME
5,13.16,13.16,1,12.66,12.66,2,12.81,12.81,3,12.85,12.85,4,12.94,12.94
5,9.23,22.39,1,9.23,21.89,2,9.19,22.00,3,9.23,22.08,4,9.16,22.10
5,9.26,31.65,1,9.32,31.21,2,9.42,31.42,3,9.47,31.55,4,9.51,31.61
3,8.83,40.48,1,9.07,40.28,2,8.94,40.36,4,9.04,40.59,5,9.05,40.66
4,9.14,49.62,1,9.04,49.32,2,9.11,49.47,3,9.02,49.61,5,9.06,49.72
5,9.26,58.88,1,9.21,58.53,2,9.14,58.61,3,9.16,58.77,4,9.14,58.86
5,9.25,1:08.13,1,9.04,1:07.57,2,9.14,1:07.75,3,9.16,1:07.93,4,9.16,1:08.02
5,9.19,1:17.32,1,9.09,1:16.66,2,9.05,1:16.80,3,9.07,1:17.00,4,9.15,1:17.17
5,9.29,1:26.618,1,9.15,1:25.81,2,9.12,1:25.92,3,9.10,1:26.10,4,9.21,1:26.385
