Matteo PEDRANZ POSITION,Matteo PEDRANZ LAP TIME,Matteo PEDRANZ ELAPSED TIME,Attila SZASZ POSITION,Attila SZASZ LAP TIME,Attila SZASZ ELAPSED TIME,ANDERMANN Dominic POSITION,ANDERMANN Dominic LAP TIME,ANDERMANN Dominic ELAPSED TIME,Andras SZIKLASI POSITION,Andras SZIKLASI LAP TIME,Andras SZIKLASI ELAPSED TIME
1,7.17,7.17,2,7.32,7.32,3,7.58,7.58,4,7.67,
1,9.38,16.55,2,9.37,16.69,4,9.70,17.28,3,9.34,
1,9.03,25.58,2,9.01,25.70,4,9.31,26.59,3,8.85,
1,9.17,34.75,3,9.28,34.98,4,9.49,36.08,2,8.99,
2,9.80,44.529,1,9.46,44.429,3,9.74,45.806,1,9.40,
