Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,WOJNOWSKI Mariusz POSITION,WOJNOWSKI Mariusz LAP TIME,WOJNOWSKI Mariusz ELAPSED TIME,Guillaume MATHIEU POSITION,Guillaume MATHIEU LAP TIME,Guillaume MATHIEU ELAPSED TIME,Jumpei YOSHIZAWA POSITION,Jumpei YOSHIZAWA LAP TIME,Jumpei YOSHIZAWA ELAPSED TIME
4,14.540,14.540,3,14.336,14.336,5,14.925,14.925,1,14.183,14.183,2,14.307,14.307
1,10.189,24.728,2,10.441,24.777,5,10.165,25.090,3,10.637,24.819,4,10.650,24.956
4,9.928,34.655,1,9.581,34.357,5,9.598,34.687,2,9.559,34.377,3,9.661,34.616
1,8.951,43.606,3,9.411,43.768,5,9.640,44.326,2,9.253,43.630,4,9.283,43.899
4,9.605,53.211,3,9.167,52.935,5,9.246,53.572,1,9.147,52.777,2,9.013,52.911
2,9.067,1:02.278,1,9.012,1:01.946,5,9.246,1:02.817,4,9.594,1:02.370,3,9.400,1:02.311
3,9.354,1:11.632,2,9.572,1:11.518,5,9.562,1:12.379,1,9.041,1:11.411,4,9.419,1:11.730
4,9.805,1:21.436,1,9.255,1:20.772,5,10.182,1:22.560,2,9.588,1:20.998,3,9.328,1:21.057
2,11.06,1:32.489,1,10.23,1:31.000,3,10.72,1:33.278,4,1:123.57,4:24.561,0,,DQ
