KAYE Talya POSITION,KAYE Talya LAP TIME,KAYE Talya ELAPSED TIME,AMIRGALIYEVA Aliya POSITION,AMIRGALIYEVA Aliya LAP TIME,AMIRGALIYEVA Aliya ELAPSED TIME,SANTOS Kristen POSITION,SANTOS Kristen LAP TIME,SANTOS Kristen ELAPSED TIME,DOLGOPOLOVA Mariya POSITION,DOLGOPOLOVA Mariya LAP TIME,DOLGOPOLOVA Mariya ELAPSED TIME,MANOILOVA Katrin POSITION,MANOILOVA Katrin LAP TIME,MANOILOVA Katrin ELAPSED TIME
1,13.66,13.66,2,13.82,13.82,4,14.24,14.24,3,13.91,13.91,5,14.36,14.36
1,10.35,24.01,2,10.30,24.12,4,10.13,24.37,3,10.31,24.22,5,10.12,24.48
1,10.38,34.39,2,10.36,34.48,4,10.30,34.67,3,10.34,34.56,5,10.27,34.75
3,10.55,44.94,1,10.39,44.87,5,10.38,45.05,4,10.43,44.99,2,10.17,44.92
5,10.19,55.13,3,9.95,54.82,2,9.60,54.65,4,9.94,54.93,1,9.64,54.56
5,10.05,1:05.18,3,9.60,1:04.42,2,9.60,1:04.25,4,9.65,1:04.58,1,9.59,1:04.15
5,10.59,1:15.77,3,9.77,1:14.19,1,9.67,1:13.92,4,9.76,1:14.34,2,9.83,1:13.98
5,11.11,1:26.88,3,10.04,1:24.23,1,9.78,1:23.70,4,10.19,1:24.53,2,10.11,1:24.09
5,11.43,1:38.31,3,10.34,1:34.57,1,9.86,1:33.56,4,10.58,1:35.11,2,10.34,1:34.43
