Ikue TESHIGAWARA POSITION,Ikue TESHIGAWARA LAP TIME,Ikue TESHIGAWARA ELAPSED TIME,Sarah LINDSAY POSITION,Sarah LINDSAY LAP TIME,Sarah LINDSAY ELAPSED TIME,Ekaterina STUKANOV POSITION,Ekaterina STUKANOV LAP TIME,Ekaterina STUKANOV ELAPSED TIME,Anouk LEBLANC-BOUCHER POSITION,Anouk LEBLANC-BOUCHER LAP TIME,Anouk LEBLANC-BOUCHER ELAPSED TIME,CHENG Xiao Lei POSITION,CHENG Xiao Lei LAP TIME,CHENG Xiao Lei ELAPSED TIME
4,15.026,15.026,1,14.476,14.476,5,15.178,15.178,3,14.938,14.938,2,14.642,14.642
2,11.372,26.397,3,11.995,26.471,5,11.678,26.856,4,11.681,26.618,1,11.484,26.126
4,11.383,37.780,2,10.924,37.395,5,10.937,37.792,3,10.874,37.492,1,11.046,37.171
5,10.598,48.377,3,10.458,47.852,4,10.540,48.331,2,10.279,47.770,1,10.480,47.650
3,9.347,57.724,4,10.002,57.853,5,10.199,58.529,2,9.954,57.723,1,9.900,57.550
1,9.729,1:07.452,4,10.124,1:07.977,5,10.320,1:08.849,3,10.039,1:07.762,2,9.927,1:07.476
1,9.745,1:17.196,4,9.811,1:17.788,5,10.548,1:19.397,3,10.008,1:17.770,2,9.945,1:17.421
4,10.826,1:28.022,3,10.230,1:28.017,5,10.752,1:30.148,2,9.784,1:27.553,1,9.695,1:27.115
3,9.91,1:37.923,4,10.18,1:38.191,5,10.58,1:40.727,2,9.45,1:36.997,1,9.77,1:36.882
