PARK Se Yeong POSITION,PARK Se Yeong LAP TIME,PARK Se Yeong ELAPSED TIME,Thibault CROLET POSITION,Thibault CROLET LAP TIME,Thibault CROLET ELAPSED TIME,Anthony LOBELLO POSITION,Anthony LOBELLO LAP TIME,Anthony LOBELLO ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME
2,14.05,14.05,3,14.13,14.13,4,14.33,14.33,1,13.94,13.94
3,10.55,24.60,4,10.57,24.70,2,10.22,24.55,1,10.56,24.50
3,9.85,34.45,4,9.83,34.53,2,9.79,34.34,1,9.73,34.23
2,9.70,44.15,4,9.83,44.36,3,9.82,44.16,1,9.82,44.05
1,8.98,53.13,4,9.16,53.52,3,9.26,53.42,2,9.16,53.21
1,9.31,1:02.44,4,9.19,1:02.71,3,9.18,1:02.60,2,9.32,1:02.53
1,9.26,1:11.70,4,9.28,1:11.99,3,9.30,1:11.90,2,9.25,1:11.78
2,9.21,1:20.91,4,9.18,1:21.17,3,9.24,1:21.14,1,9.12,1:20.90
2,9.28,1:30.188,3,9.07,1:30.238,4,9.60,1:30.740,1,8.97,1:29.868
