Jeff SIMON POSITION,Jeff SIMON LAP TIME,Jeff SIMON ELAPSED TIME,Paul WORTH POSITION,Paul WORTH LAP TIME,Paul WORTH ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,David Mano LOTH POSITION,David Mano LOTH LAP TIME,David Mano LOTH ELAPSED TIME
2,6.80,6.80,3,6.84,6.84,1,6.76,6.76,4,7.17,7.17
1,9.06,15.86,2,9.16,16.01,3,9.28,16.05,4,9.28,16.45
1,8.71,24.58,3,8.80,24.81,2,8.54,24.59,4,8.61,25.07
1,8.98,33.56,3,9.16,33.98,2,9.03,33.63,0,,
1,9.41,42.963,3,9.70,43.679,2,9.66,43.289,0,,DNS
