LI Jiajun POSITION,LI Jiajun LAP TIME,LI Jiajun ELAPSED TIME,Mark McNEE POSITION,Mark McNEE LAP TIME,Mark McNEE ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Sergey PRANKEVICH POSITION,Sergey PRANKEVICH LAP TIME,Sergey PRANKEVICH ELAPSED TIME,Yevgen YAKOVLEV POSITION,Yevgen YAKOVLEV LAP TIME,Yevgen YAKOVLEV ELAPSED TIME
3,9.705,9.705,4,9.835,9.835,2,9.484,9.484,1,9.333,9.333,5,11.199,11.199
4,12.483,22.187,5,12.472,22.307,3,12.468,21.951,1,12.372,21.705,2,10.685,21.883
4,10.260,32.447,5,10.266,32.572,2,10.246,32.196,1,10.029,31.734,3,10.458,32.341
4,9.792,42.238,5,9.764,42.336,2,9.750,41.946,1,10.051,41.785,3,9.793,42.134
2,9.794,52.032,3,9.739,52.075,4,10.215,52.160,1,10.079,51.863,5,10.072,52.206
3,10.293,1:02.324,4,10.340,1:02.415,2,10.028,1:02.188,1,10.104,1:01.966,5,10.278,1:02.483
3,10.122,1:12.445,4,10.067,1:12.481,2,10.104,1:12.291,1,10.168,1:12.133,5,10.169,1:12.652
3,10.089,1:22.534,4,10.189,1:22.670,2,10.150,1:22.440,1,10.297,1:22.430,5,10.112,1:22.764
3,9.956,1:32.490,4,10.023,1:32.692,2,9.952,1:32.392,1,9.885,1:32.315,5,9.994,1:32.758
2,10.059,1:42.548,3,9.917,1:42.609,1,9.995,1:42.386,4,10.327,1:42.641,5,22.788,1:55.545
2,10.165,1:52.713,4,10.196,1:52.805,1,10.246,1:52.632,3,10.077,1:52.718,5,13.834,2:09.378
2,10.012,2:02.724,4,10.171,2:02.975,1,9.869,2:02.501,3,10.057,2:02.774,5,13.277,2:22.655
1,9.263,2:11.987,4,9.870,2:12.844,2,9.643,2:12.144,3,9.806,2:12.580,5,11.764,2:34.418
1,9.69,2:21.671,3,9.79,2:22.630,2,9.99,2:22.133,4,10.07,2:22.649,5,11.44,2:45.858
