Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Joshua CHEETHAM POSITION,Joshua CHEETHAM LAP TIME,Joshua CHEETHAM ELAPSED TIME,Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME
2,15.73,15.73,3,15.80,15.80,1,15.69,15.69
2,11.79,27.52,3,11.77,27.57,1,11.77,27.46
3,10.12,37.64,1,9.86,37.43,2,10.09,37.55
3,9.66,47.30,1,9.62,47.05,2,9.60,47.15
3,9.74,57.04,1,9.83,56.88,2,9.74,56.89
3,9.49,1:06.53,2,9.55,1:06.43,1,9.25,1:06.14
3,9.27,1:15.80,2,9.36,1:15.79,1,9.02,1:15.16
3,9.74,1:25.54,2,9.67,1:25.46,1,9.08,1:24.24
2,9.47,1:35.003,3,9.80,1:35.256,1,9.61,1:33.849
