Min-Kyung CHOI POSITION,Min-Kyung CHOI LAP TIME,Min-Kyung CHOI ELAPSED TIME,Szandra LAJTOS POSITION,Szandra LAJTOS LAP TIME,Szandra LAJTOS ELAPSED TIME,CHENG Xiao Lei POSITION,CHENG Xiao Lei LAP TIME,CHENG Xiao Lei ELAPSED TIME,Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME,Marta CAPURSO POSITION,Marta CAPURSO LAP TIME,Marta CAPURSO ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME
4,9.765,9.765,1,9.329,9.329,2,9.354,9.354,5,9.825,9.825,3,9.663,9.663,6,10.321,10.321
4,13.846,23.610,1,13.904,23.233,3,14.148,23.502,5,13.938,23.763,2,13.808,23.471,6,14.071,24.392
4,13.543,37.153,1,13.481,36.714,2,13.525,37.026,5,13.472,37.234,3,13.627,37.098,6,13.375,37.767
5,13.215,50.367,2,13.327,50.040,1,12.955,49.980,3,13.101,50.334,4,13.262,50.359,6,13.081,50.847
5,11.421,1:01.787,4,11.642,1:01.682,2,11.528,1:01.507,1,11.090,1:01.424,3,11.268,1:01.627,6,11.169,1:02.016
4,10.235,1:12.022,5,10.342,1:12.024,3,10.305,1:11.812,2,10.356,1:11.780,1,10.132,1:11.759,6,10.237,1:12.252
3,10.277,1:22.298,5,10.520,1:22.544,4,10.677,1:22.488,2,10.395,1:22.175,1,10.412,1:22.170,6,10.302,1:22.554
2,9.887,1:32.184,6,10.046,1:32.589,4,9.734,1:32.222,1,9.931,1:32.106,3,10.031,1:32.201,5,10.014,1:32.567
3,10.086,1:42.270,6,10.136,1:42.724,1,9.788,1:42.009,2,10.143,1:42.248,4,10.083,1:42.283,5,10.133,1:42.700
1,10.392,1:52.661,6,10.498,1:53.222,4,10.792,1:52.800,3,10.504,1:52.752,2,10.424,1:52.707,5,10.432,1:53.132
4,10.028,2:02.688,6,10.679,2:03.901,2,9.831,2:02.631,3,9.880,2:02.632,1,9.854,2:02.560,5,9.890,2:03.022
3,10.072,2:12.760,6,11.414,2:15.315,2,9.929,2:12.559,4,10.227,2:12.858,1,9.979,2:12.539,5,9.932,2:12.954
3,10.044,2:22.803,6,12.067,2:27.381,4,10.421,2:22.980,1,9.657,2:22.515,2,10.038,2:22.577,5,10.371,2:23.324
3,10.52,2:33.319,5,12.74,2:40.120,1,10.12,2:33.096,4,12.33,2:34.844,2,10.52,2:33.097,0,,DQ
