CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Lachlan HAY POSITION,Lachlan HAY LAP TIME,Lachlan HAY ELAPSED TIME,SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Ansis ROBS POSITION,Ansis ROBS LAP TIME,Ansis ROBS ELAPSED TIME
4,8.85,8.85,5,8.96,8.96,6,9.38,9.38,3,8.79,8.79,1,8.71,8.71,2,8.74,8.74
4,12.02,20.87,5,11.99,20.95,6,11.71,21.09,1,11.81,20.60,2,11.89,20.60,3,12.01,20.75
2,10.42,31.29,6,10.70,31.65,4,10.30,31.39,1,10.64,31.24,3,10.78,31.38,5,10.80,31.55
1,9.70,40.99,5,9.90,41.55,3,10.02,41.41,2,10.01,41.25,6,10.18,41.56,4,9.93,41.48
1,9.80,50.79,2,9.46,51.01,4,9.91,51.32,3,9.83,51.08,5,9.81,51.37,6,10.22,51.70
1,9.45,1:00.24,2,9.50,1:00.51,4,9.41,1:00.73,3,9.54,1:00.62,5,9.50,1:00.87,6,9.44,1:01.14
1,9.32,1:09.56,3,9.62,1:10.13,4,9.65,1:10.38,2,9.42,1:10.04,5,9.62,1:10.49,6,9.87,1:11.01
1,9.51,1:19.07,4,9.62,1:19.75,2,9.18,1:19.56,5,9.74,1:19.78,3,9.08,1:19.57,6,8.89,1:19.90
1,9.73,1:28.80,4,9.47,1:29.22,3,9.61,1:29.17,5,9.52,1:29.30,2,9.30,1:28.87,6,11.82,1:31.72
1,9.78,1:38.58,5,9.74,1:38.96,3,9.70,1:38.87,4,9.64,1:38.94,2,9.82,1:38.69,6,10.99,1:42.71
1,9.13,1:47.71,5,9.63,1:48.59,3,9.42,1:48.29,4,9.52,1:48.46,2,9.59,1:48.28,6,11.69,1:54.40
2,9.65,1:57.36,5,9.67,1:58.26,1,9.03,1:57.32,4,9.25,1:57.71,3,9.30,1:57.58,6,11.69,2:06.09
1,9.07,2:06.43,5,10.57,2:08.83,2,9.15,2:06.47,4,9.30,2:07.01,3,9.02,2:06.60,6,12.54,2:18.63
3,9.55,2:15.980,5,11.82,2:20.641,1,9.36,2:15.831,4,9.91,2:16.917,2,9.34,2:15.940,6,12.44,2:31.064
