Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,Xeniya MOTOVA POSITION,Xeniya MOTOVA LAP TIME,Xeniya MOTOVA ELAPSED TIME,Sarah LINDSAY POSITION,Sarah LINDSAY LAP TIME,Sarah LINDSAY ELAPSED TIME,Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME,CHUNG Hsiao-Ying POSITION,CHUNG Hsiao-Ying LAP TIME,CHUNG Hsiao-Ying ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME
3,9.78,9.78,5,9.90,9.90,2,9.69,9.69,4,9.87,9.87,6,10.11,10.11,1,9.55,9.55
4,14.22,24.00,6,14.29,24.19,3,14.19,23.88,1,13.65,23.52,5,13.99,24.10,2,14.19,23.74
5,11.94,35.94,1,11.51,35.70,2,11.86,35.74,4,12.36,35.88,6,11.85,35.95,3,12.04,35.78
6,11.32,47.26,1,11.01,46.71,2,11.08,46.82,4,11.25,47.13,5,11.29,47.24,3,11.23,47.01
5,11.42,58.68,1,11.49,58.20,2,11.51,58.33,4,11.45,58.58,6,11.45,58.69,3,11.45,58.46
6,12.00,1:10.68,1,11.92,1:10.12,2,11.91,1:10.24,3,11.75,1:10.33,5,11.90,1:10.59,4,11.90,1:10.36
5,10.78,1:21.46,3,11.12,1:21.24,2,10.90,1:21.14,1,10.73,1:21.06,6,11.07,1:21.66,4,11.00,1:21.36
5,10.70,1:32.16,4,10.89,1:32.13,3,10.86,1:32.00,2,10.88,1:31.94,6,10.71,1:32.37,1,10.41,1:31.77
4,10.90,1:43.06,5,11.03,1:43.16,3,10.96,1:42.96,2,10.93,1:42.87,6,10.96,1:43.33,1,10.94,1:42.71
4,10.63,1:53.69,5,10.72,1:53.88,2,10.51,1:53.47,3,10.69,1:53.56,6,10.83,1:54.16,1,10.72,1:53.43
3,10.21,2:03.90,5,10.26,2:04.14,2,10.33,2:03.80,4,10.47,2:04.03,6,10.87,2:05.03,1,10.28,2:03.71
2,9.89,2:13.79,5,10.29,2:14.43,3,10.17,2:13.97,4,10.21,2:14.24,6,11.08,2:16.11,1,10.06,2:13.77
1,9.72,2:23.51,5,10.35,2:24.78,3,10.12,2:24.09,4,10.02,2:24.26,6,11.75,2:27.86,2,9.89,2:23.66
1,9.70,2:33.205,5,10.60,2:35.371,4,10.35,2:34.437,3,9.78,2:34.034,6,11.67,2:39.521,2,9.66,2:33.313
