Marielle LOOTSMA POSITION,Marielle LOOTSMA LAP TIME,Marielle LOOTSMA ELAPSED TIME,WANG Meng POSITION,WANG Meng LAP TIME,WANG Meng ELAPSED TIME,Aika KLEIN POSITION,Aika KLEIN LAP TIME,Aika KLEIN ELAPSED TIME,BYUN Chun-Sa POSITION,BYUN Chun-Sa LAP TIME,BYUN Chun-Sa ELAPSED TIME
1,14.457,14.457,3,14.707,14.707,2,14.704,14.704,4,14.877,14.877
1,11.196,25.652,2,11.044,25.751,3,11.170,25.873,4,10.999,25.876
2,10.016,35.667,1,9.669,35.420,3,9.796,35.668,4,9.818,35.693
3,10.076,45.743,1,10.160,45.580,4,10.201,45.869,2,10.020,45.713
3,10.318,56.060,1,10.292,55.871,4,10.200,56.069,2,10.308,56.021
3,10.331,1:06.391,1,10.276,1:06.147,4,10.325,1:06.393,2,10.197,1:06.217
3,10.137,1:16.528,2,10.187,1:16.333,4,10.248,1:16.641,1,10.092,1:16.309
4,10.040,1:26.568,1,9.794,1:26.127,3,9.732,1:26.373,2,9.863,1:26.171
3,10.34,1:36.908,1,10.03,1:36.155,4,10.69,1:37.061,2,9.99,1:36.156
