ZHANG Qichao POSITION,ZHANG Qichao LAP TIME,ZHANG Qichao ELAPSED TIME,VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME,Veronika DENES POSITION,Veronika DENES LAP TIME,Veronika DENES ELAPSED TIME,Emma COXON-SMITH POSITION,Emma COXON-SMITH LAP TIME,Emma COXON-SMITH ELAPSED TIME
2,7.87,7.87,1,7.52,7.52,4,13.45,13.45,3,8.22,8.22
2,10.04,17.92,1,9.93,17.45,4,16.11,29.57,3,11.00,19.23
1,9.19,27.12,2,9.77,27.22,4,10.85,40.43,3,10.55,29.78
1,9.85,36.97,2,9.92,37.15,4,10.30,50.73,3,10.73,40.51
0,,DQ,1,10.11,47.256,3,10.51,1:01.237,2,11.07,51.580
