CHINA POSITION,CHINA LAP TIME,CHINA ELAPSED TIME,POLAND POSITION,POLAND LAP TIME,POLAND ELAPSED TIME,RUSSIA POSITION,RUSSIA LAP TIME,RUSSIA ELAPSED TIME
1,12.47,12.47,2,12.76,12.76,3,12.86,12.86
1,9.17,21.64,2,9.35,22.11,3,9.36,22.22
1,9.01,30.65,3,9.50,31.61,2,8.84,31.06
1,9.19,39.84,3,9.60,41.21,2,8.90,39.96
1,9.15,48.99,3,9.54,50.75,2,9.18,49.14
1,9.08,58.07,3,9.68,1:00.43,2,9.21,58.35
1,9.35,1:07.42,3,9.43,1:09.86,2,9.15,1:07.50
1,9.09,1:16.51,3,9.51,1:19.37,2,9.09,1:16.59
1,9.01,1:25.52,3,9.58,1:28.95,2,9.05,1:25.64
1,9.18,1:34.70,3,9.87,1:38.82,2,9.31,1:34.95
1,9.00,1:43.70,3,10.11,1:48.93,2,9.10,1:44.05
1,9.21,1:52.91,3,10.82,1:59.75,2,9.29,1:53.34
1,9.29,2:02.20,3,8.44,2:08.19,2,9.01,2:02.35
1,9.08,2:11.28,3,9.69,2:17.88,2,9.25,2:11.60
1,9.10,2:20.38,3,9.81,2:27.69,2,9.06,2:20.66
1,9.29,2:29.67,3,10.07,2:37.76,2,9.10,2:29.76
1,9.26,2:38.93,3,10.26,2:48.02,2,9.29,2:39.05
1,9.17,2:48.10,3,9.94,2:57.96,2,9.32,2:48.37
1,9.47,2:57.57,3,9.99,3:07.95,2,9.35,2:57.72
1,9.25,3:06.82,3,9.21,3:17.16,2,9.13,3:06.85
1,9.07,3:15.89,3,9.58,3:26.74,2,9.18,3:16.03
1,9.16,3:25.05,3,10.04,3:36.78,2,9.13,3:25.16
1,9.16,3:34.21,3,10.26,3:47.04,2,9.53,3:34.69
1,9.22,3:43.43,3,9.95,3:56.99,2,9.73,3:44.42
1,9.20,3:52.63,3,9.81,4:06.80,2,9.20,3:53.62
1,9.25,4:01.88,3,9.30,4:16.10,2,9.10,4:02.72
1,9.15,4:11.030,3,9.92,4:26.017,2,9.38,4:12.095
