Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME,Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME,Matteo COMPAGNONI POSITION,Matteo COMPAGNONI LAP TIME,Matteo COMPAGNONI ELAPSED TIME,Travis JAYNER POSITION,Travis JAYNER LAP TIME,Travis JAYNER ELAPSED TIME
1,13.80,13.80,2,13.90,13.90,3,13.91,13.91,4,14.06,14.06
2,9.76,23.56,4,9.85,23.75,1,9.62,23.53,3,9.59,23.65
2,9.95,33.51,4,9.93,33.68,1,9.90,33.43,3,9.95,33.60
1,9.72,43.23,4,9.76,43.44,3,9.89,43.32,2,9.71,43.31
1,9.39,52.62,3,9.39,52.83,4,9.64,52.96,2,9.41,52.72
1,9.43,1:02.05,3,9.40,1:02.23,4,9.41,1:02.37,2,9.33,1:02.05
2,9.21,1:11.26,3,9.10,1:11.33,4,9.29,1:11.66,1,9.11,1:11.16
2,9.14,1:20.40,3,9.18,1:20.51,4,9.50,1:21.16,1,9.13,1:20.29
2,9.30,1:29.694,3,9.33,1:29.832,4,10.33,1:31.483,1,9.31,1:29.597
