Hiroki YOKOYAMA POSITION,Hiroki YOKOYAMA LAP TIME,Hiroki YOKOYAMA ELAPSED TIME,Atiip NAVARAT POSITION,Atiip NAVARAT LAP TIME,Atiip NAVARAT ELAPSED TIME,John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME,Joshua CHEETHAM POSITION,Joshua CHEETHAM LAP TIME,Joshua CHEETHAM ELAPSED TIME,Jacob JANSSON POSITION,Jacob JANSSON LAP TIME,Jacob JANSSON ELAPSED TIME,Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME
3,8.67,8.67,5,8.95,8.95,5,8.95,8.95,4,8.78,8.78,1,8.48,8.48,2,8.54,
4,11.58,20.25,6,11.61,20.56,5,11.37,20.32,3,11.38,20.16,1,11.58,20.06,2,11.61,
5,11.08,31.33,6,11.01,31.57,1,10.53,30.85,3,10.93,31.09,2,10.90,30.96,4,11.07,
3,9.93,41.26,6,10.36,41.93,1,10.32,41.17,5,10.22,41.31,4,10.34,41.30,1,9.95,
3,9.72,50.98,6,10.27,52.20,2,9.70,50.87,5,9.89,51.20,4,9.77,51.07,1,9.59,
3,9.80,1:00.78,6,10.78,1:02.98,1,9.69,1:00.56,5,9.86,1:01.06,4,9.79,1:00.86,2,9.90,
3,9.73,1:10.51,6,11.46,1:14.44,1,9.75,1:10.31,5,9.65,1:10.71,4,9.75,1:10.61,2,9.74,
3,9.64,1:20.15,6,12.10,1:26.54,1,9.67,1:19.98,5,9.69,1:20.40,4,9.67,1:20.28,2,9.68,
3,9.41,1:29.56,6,13.87,1:40.41,1,9.47,1:29.45,5,9.59,1:29.99,4,9.51,1:29.79,2,9.43,
4,14.86,1:44.42,5,13.38,1:53.79,1,9.34,1:38.79,3,9.40,1:39.39,2,9.46,1:39.25,6,30.12,
4,10.91,1:55.33,5,14.60,2:08.39,1,9.36,1:48.15,3,9.48,1:48.87,2,9.50,1:48.75,6,16.49,
4,10.06,2:05.39,5,14.57,2:22.96,1,9.42,1:57.57,3,9.77,1:58.64,2,9.76,1:58.51,6,12.37,
4,10.59,2:15.98,5,13.13,2:36.09,1,9.69,2:07.26,2,9.79,2:08.43,3,10.19,2:08.70,6,11.27,
4,11.33,2:27.31,5,13.61,2:49.70,1,10.73,2:17.99,2,10.26,2:18.69,3,11.12,2:19.82,6,11.16,
