PENCHEVA Zornica POSITION,PENCHEVA Zornica LAP TIME,PENCHEVA Zornica ELAPSED TIME,KONG Xue POSITION,KONG Xue LAP TIME,KONG Xue ELAPSED TIME,ZAKHAROVA Evgeniya POSITION,ZAKHAROVA Evgeniya LAP TIME,ZAKHAROVA Evgeniya ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Julia RIEDEL POSITION,Julia RIEDEL LAP TIME,Julia RIEDEL ELAPSED TIME,Xeniya MOTOVA POSITION,Xeniya MOTOVA LAP TIME,Xeniya MOTOVA ELAPSED TIME
3,9.64,9.64,5,9.75,9.75,1,9.39,9.39,2,9.54,9.54,6,9.85,9.85,4,9.73,9.73
4,12.67,22.31,5,12.69,22.44,2,12.70,22.09,3,12.66,22.20,6,12.71,22.56,1,12.27,22.00
5,12.18,34.49,2,11.82,34.26,1,12.16,34.25,3,12.15,34.35,6,12.07,34.63,4,12.36,34.36
5,11.51,46.00,2,11.44,45.70,1,11.33,45.58,3,11.46,45.81,6,11.46,46.09,4,11.54,45.90
6,11.43,57.43,2,11.40,57.10,1,11.37,56.95,3,11.38,57.19,4,11.12,57.21,5,11.37,57.27
6,10.28,1:07.71,2,10.07,1:07.17,1,10.13,1:07.08,3,10.10,1:07.29,4,10.15,1:07.36,5,10.22,1:07.49
6,10.18,1:17.89,2,10.31,1:17.48,1,10.29,1:17.37,3,10.26,1:17.55,4,10.31,1:17.67,5,10.27,1:17.76
6,10.62,1:28.51,2,10.62,1:28.10,1,10.60,1:27.97,3,10.62,1:28.17,4,10.62,1:28.29,5,10.62,1:28.38
6,10.56,1:39.07,2,10.47,1:38.57,1,10.48,1:38.45,3,10.50,1:38.67,4,10.47,1:38.76,5,10.50,1:38.88
6,10.43,1:49.50,2,10.17,1:48.74,1,10.21,1:48.66,3,10.18,1:48.85,4,10.18,1:48.94,5,10.16,1:49.04
6,10.69,2:00.19,2,10.00,1:58.74,3,10.11,1:58.77,1,9.87,1:58.72,4,10.03,1:58.97,5,10.14,1:59.18
6,11.20,2:11.39,1,9.46,2:08.20,3,9.97,2:08.74,2,9.68,2:08.40,4,9.87,2:08.84,5,10.12,2:09.30
6,11.74,2:23.13,1,9.70,2:17.90,3,10.16,2:18.90,2,9.67,2:18.07,4,10.10,2:18.94,5,10.35,2:19.65
6,12.23,2:35.360,1,9.92,2:27.818,3,10.31,2:29.207,2,9.89,2:27.951,4,10.68,2:29.611,5,10.74,2:30.386
