Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Anthony DOUGLAS POSITION,Anthony DOUGLAS LAP TIME,Anthony DOUGLAS ELAPSED TIME,Bence BERES POSITION,Bence BERES LAP TIME,Bence BERES ELAPSED TIME
3,13.50,13.50,1,13.08,13.08,2,13.43,13.43,4,13.74,13.74
3,10.46,23.97,1,10.67,23.76,2,10.45,23.88,4,10.30,24.05
3,10.40,34.37,2,10.34,34.10,1,10.20,34.09,4,10.33,34.38
4,25.91,1:00.29,1,9.56,43.67,2,9.68,43.77,3,9.79,44.18
4,33.78,1:34.07,3,0.00,1:17.26,1,9.75,53.52,2,0.00,53.66
4,16.83,1:50.90,3,11.26,1:28.52,1,9.91,1:03.44,2,9.95,1:03.61
4,12.54,2:03.45,3,11.12,1:39.64,1,10.14,1:13.58,2,10.13,1:13.75
3,11.75,2:15.20,0,,,1,9.83,1:23.41,2,9.94,1:23.70
0,,DQ,3,,2:01.620,1,9.79,1:33.193,2,10.52,1:34.212
