Vera ANTANENKA POSITION,Vera ANTANENKA LAP TIME,Vera ANTANENKA ELAPSED TIME,MANOILOVA Katrin POSITION,MANOILOVA Katrin LAP TIME,MANOILOVA Katrin ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME
2,14.44,14.44,3,14.55,14.55,4,14.58,14.58,1,14.42,14.42
3,10.79,25.23,4,10.76,25.31,1,10.46,25.04,2,10.71,25.13
4,10.88,36.11,3,10.77,36.08,1,10.91,35.95,2,10.95,36.08
2,10.49,46.60,4,10.69,46.77,1,10.53,46.48,3,10.62,46.70
2,9.93,56.53,4,9.98,56.75,1,9.96,56.44,3,9.99,56.69
2,9.84,1:06.37,4,9.84,1:06.59,1,9.82,1:06.26,3,9.80,1:06.49
3,9.92,1:16.29,4,9.77,1:16.36,1,9.66,1:15.92,2,9.75,1:16.24
4,10.46,1:26.75,3,9.69,1:26.05,1,9.70,1:25.62,2,9.53,1:25.77
4,11.00,1:37.741,3,9.69,1:35.734,2,9.97,1:35.591,1,9.77,1:35.532
