HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME,Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME,Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME
2,13.31,13.31,3,13.43,13.43,4,13.56,13.56,1,13.19,13.19
2,9.81,23.12,3,9.78,23.21,4,9.78,23.34,1,9.86,23.05
2,9.90,33.02,3,9.91,33.12,4,9.87,33.21,1,9.86,32.91
1,9.20,42.22,3,9.26,42.38,4,9.29,42.50,2,9.37,42.28
1,9.03,51.25,3,9.06,51.44,4,9.06,51.56,2,9.05,51.33
1,9.08,1:00.33,3,9.09,1:00.53,4,9.06,1:00.62,2,9.08,1:00.41
1,8.86,1:09.19,3,8.86,1:09.39,4,8.94,1:09.56,2,8.88,1:09.29
1,8.74,1:17.93,2,8.62,1:18.01,4,8.77,1:18.33,3,8.80,1:18.09
1,8.75,1:26.671,2,8.74,1:26.749,4,9.09,1:27.414,3,9.26,1:27.346
