Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Evgenii KOZULIN POSITION,Evgenii KOZULIN LAP TIME,Evgenii KOZULIN ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME
4,8.64,8.64,5,8.84,8.84,2,8.59,8.59,3,8.60,8.60,6,9.03,9.03,1,8.51,8.51
3,11.66,20.30,5,11.74,20.58,4,11.83,20.42,2,11.66,20.26,6,11.70,20.73,1,11.57,20.08
2,10.91,31.21,5,10.94,31.52,4,11.00,31.42,3,11.09,31.35,6,10.91,31.64,1,10.98,31.06
2,11.33,42.54,5,11.30,42.82,4,11.30,42.72,3,11.29,42.64,6,11.29,42.93,1,11.38,42.44
3,11.58,54.12,5,11.56,54.38,4,11.55,54.27,2,11.31,53.95,6,11.57,54.50,1,11.41,53.85
3,10.75,1:04.87,5,10.71,1:05.09,4,10.72,1:04.99,1,10.71,1:04.66,6,10.67,1:05.17,2,10.84,1:04.69
3,9.93,1:14.80,5,9.89,1:14.98,4,9.88,1:14.87,2,9.98,1:14.64,6,9.94,1:15.11,1,9.95,1:14.64
3,9.69,1:24.49,5,9.72,1:24.70,4,9.71,1:24.58,2,9.74,1:24.38,6,9.71,1:24.82,1,9.63,1:24.27
3,9.59,1:34.08,5,9.59,1:34.29,4,9.60,1:34.18,2,9.60,1:33.98,6,9.58,1:34.40,1,9.61,1:33.88
6,9.46,1:43.54,2,9.11,1:43.40,4,9.27,1:43.45,3,9.43,1:43.41,5,9.12,1:43.52,1,9.44,1:43.32
6,12.72,1:56.26,2,9.20,1:52.60,5,9.42,1:52.87,4,9.39,1:52.80,3,9.18,1:52.70,1,9.16,1:52.48
6,10.83,2:07.09,1,9.14,2:01.74,4,9.07,2:01.94,5,9.27,2:02.07,3,9.15,2:01.85,2,9.31,2:01.79
4,10.33,2:17.42,1,9.12,2:10.86,6,41.17,2:43.11,2,9.32,2:11.39,3,9.73,2:11.58,5,26.83,2:28.62
4,10.46,2:27.871,1,9.53,2:20.382,6,27.88,3:10.990,2,9.74,2:21.122,3,9.94,2:21.517,5,34.34,3:02.953
