Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME,Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME,Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME
3,7.21,7.21,1,6.89,6.89,4,7.34,7.34,2,7.02,7.02
3,8.86,16.07,1,8.96,15.85,4,8.98,16.32,2,8.95,15.97
3,8.55,24.62,1,8.64,24.49,4,8.40,24.72,2,8.60,24.57
4,8.91,33.53,1,8.72,33.21,2,8.62,33.34,3,8.78,33.35
4,8.87,42.394,1,8.91,42.114,2,8.85,42.184,3,8.86,42.209
