Thomas BAUER POSITION,Thomas BAUER LAP TIME,Thomas BAUER ELAPSED TIME,Fabio CARTA POSITION,Fabio CARTA LAP TIME,Fabio CARTA ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME,Jean Charles MATTEI POSITION,Jean Charles MATTEI LAP TIME,Jean Charles MATTEI ELAPSED TIME,Tom IVESON POSITION,Tom IVESON LAP TIME,Tom IVESON ELAPSED TIME,SONG Kyung-Taek POSITION,SONG Kyung-Taek LAP TIME,SONG Kyung-Taek ELAPSED TIME
3,9.563,9.563,1,8.898,8.898,4,9.603,9.603,5,9.834,9.834,2,9.422,9.422,6,9.979,9.979
1,11.787,21.349,4,12.622,21.519,3,11.910,21.513,5,11.743,21.577,2,12.090,21.512,6,12.020,21.998
1,10.990,32.338,4,10.904,32.423,6,11.239,32.752,5,11.128,32.704,3,10.905,32.416,2,10.343,32.341
2,9.789,42.127,3,9.826,42.249,6,10.083,42.834,5,9.922,42.625,4,9.975,42.391,1,9.589,41.929
3,10.273,52.399,2,10.134,52.382,6,10.221,53.054,5,10.176,52.801,4,10.270,52.660,1,10.310,52.239
3,10.461,1:02.859,1,10.243,1:02.625,5,10.024,1:03.078,6,10.476,1:03.277,4,10.386,1:03.046,2,10.577,1:02.815
1,10.234,1:13.093,4,10.720,1:13.345,5,10.381,1:13.458,6,10.231,1:13.507,3,10.238,1:13.283,2,10.417,1:13.232
2,10.403,1:23.495,5,10.342,1:23.687,3,10.107,1:23.564,6,10.265,1:23.772,4,10.319,1:23.602,1,9.873,1:23.104
3,9.840,1:33.335,2,9.566,1:33.252,6,10.221,1:33.785,5,9.690,1:33.461,4,9.737,1:33.338,1,10.071,1:33.174
5,9.886,1:43.220,1,9.620,1:42.872,6,9.870,1:43.654,4,9.660,1:43.120,3,9.616,1:42.954,2,9.775,1:42.949
6,9.660,1:52.879,1,9.391,1:52.262,5,9.201,1:52.855,4,9.718,1:52.838,3,9.709,1:52.663,2,9.680,1:52.628
6,9.883,2:02.762,1,9.794,2:02.056,5,9.886,2:02.740,3,9.614,2:02.451,4,9.812,2:02.475,2,9.461,2:02.089
5,10.162,2:12.923,1,9.547,2:11.602,6,10.313,2:13.053,3,9.671,2:12.122,4,10.388,2:12.863,2,9.557,2:11.646
5,10.75,2:23.665,2,10.13,2:21.729,6,13.41,2:26.461,3,9.94,2:22.063,4,10.31,2:23.166,1,9.86,2:21.501
