Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME,Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME,Ekaterina STRELKOVA POSITION,Ekaterina STRELKOVA LAP TIME,Ekaterina STRELKOVA ELAPSED TIME,HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME,Katherine RALSTON POSITION,Katherine RALSTON LAP TIME,Katherine RALSTON ELAPSED TIME
1,10.13,10.13,3,10.39,10.39,2,10.24,10.24,4,10.55,10.55,5,10.67,10.67
2,15.48,25.61,4,15.46,25.85,3,15.47,25.71,5,15.37,25.92,1,14.79,25.46
3,13.25,38.86,4,13.16,39.01,2,13.09,38.80,5,13.23,39.15,1,13.26,38.72
3,13.54,52.40,4,13.54,52.55,2,13.42,52.22,5,13.54,52.69,1,13.34,52.06
3,12.75,1:05.15,4,12.64,1:05.19,2,12.77,1:04.99,4,12.50,1:05.19,1,12.81,1:04.87
4,10.93,1:16.08,5,10.98,1:16.17,2,10.86,1:15.85,3,10.78,1:15.97,1,10.89,1:15.76
2,10.45,1:26.53,5,10.61,1:26.78,3,10.69,1:26.54,4,10.71,1:26.68,1,10.71,1:26.47
2,10.34,1:36.87,5,10.37,1:37.15,3,10.43,1:36.97,4,10.36,1:37.04,1,10.29,1:36.76
1,10.42,1:47.29,5,10.45,1:47.60,2,10.38,1:47.35,4,10.43,1:47.47,3,10.62,1:47.38
1,10.07,1:57.36,5,10.09,1:57.69,2,10.04,1:57.39,4,10.15,1:57.62,3,10.20,1:57.58
1,9.86,2:07.22,4,9.91,2:07.60,2,9.93,2:07.32,5,9.99,2:07.61,3,9.98,2:07.56
1,9.87,2:17.09,5,10.32,2:17.92,2,9.90,2:17.22,3,9.97,2:17.58,4,10.35,2:17.91
1,9.90,2:26.99,4,10.24,2:28.16,2,9.96,2:27.18,3,10.10,2:27.68,5,11.27,2:29.18
1,10.11,2:37.10,4,10.29,2:38.454,2,10.08,2:37.264,3,10.63,2:38.310,5,12.85,2:42.031
