Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,Vojtech LOUDIN POSITION,Vojtech LOUDIN LAP TIME,Vojtech LOUDIN ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,Jordan MALONE POSITION,Jordan MALONE LAP TIME,Jordan MALONE ELAPSED TIME
1,13.44,13.44,4,13.81,13.81,2,13.57,13.57,3,13.72,13.72
2,10.02,23.46,4,9.98,23.79,1,9.82,23.39,3,9.97,23.69
2,9.52,32.98,4,9.41,33.20,1,9.50,32.89,3,9.43,33.12
2,9.21,42.19,4,9.24,42.44,1,9.22,42.11,3,9.22,42.34
2,9.11,51.30,4,9.21,51.65,1,9.10,51.21,3,9.08,51.42
2,8.79,1:00.09,4,8.94,1:00.59,1,8.81,1:00.02,3,8.77,1:00.19
1,8.78,1:08.87,4,9.04,1:09.63,2,8.89,1:08.91,3,8.80,1:08.99
1,8.74,1:17.61,4,9.38,1:19.01,2,9.03,1:17.94,3,9.06,1:18.05
1,9.06,1:26.664,4,9.90,1:28.902,2,9.17,1:27.105,3,9.32,1:27.370
