Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,Yuma SAKURAI POSITION,Yuma SAKURAI LAP TIME,Yuma SAKURAI ELAPSED TIME,Michael GILDAY POSITION,Michael GILDAY LAP TIME,Michael GILDAY ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME
4,13.27,13.27,1,13.00,13.00,2,13.07,13.07,3,13.12,13.12
4,10.01,23.28,2,10.06,23.06,1,9.91,22.98,3,10.00,23.12
4,9.63,32.91,3,9.80,32.86,2,9.76,32.74,1,9.54,32.66
4,9.53,42.44,3,9.45,42.31,1,9.41,42.15,2,9.57,42.23
4,9.35,51.79,3,9.37,51.68,1,9.28,51.43,2,9.32,51.55
4,9.26,1:01.05,3,9.23,1:00.91,1,9.22,1:00.65,2,9.25,1:00.80
4,9.11,1:10.16,3,9.07,1:09.98,1,9.08,1:09.73,2,9.14,1:09.94
3,9.15,1:19.31,4,10.25,1:20.23,1,9.28,1:19.01,2,9.35,1:19.29
2,9.14,1:28.444,4,10.90,1:31.123,1,9.43,1:28.437,3,9.80,1:29.088
