SUN Yingying POSITION,SUN Yingying LAP TIME,SUN Yingying ELAPSED TIME,Lexi BURKHOLDER POSITION,Lexi BURKHOLDER LAP TIME,Lexi BURKHOLDER ELAPSED TIME,ASCIC Valentina POSITION,ASCIC Valentina LAP TIME,ASCIC Valentina ELAPSED TIME,Miwako YAMAURA POSITION,Miwako YAMAURA LAP TIME,Miwako YAMAURA ELAPSED TIME,MALISZEWSKA Natalia POSITION,MALISZEWSKA Natalia LAP TIME,MALISZEWSKA Natalia ELAPSED TIME,Ashley Sook Hui CHIN POSITION,Ashley Sook Hui CHIN LAP TIME,Ashley Sook Hui CHIN ELAPSED TIME
2,14.00,14.00,1,13.93,13.93,4,14.39,14.39,3,14.23,14.23,6,14.81,14.81,5,14.55,14.55
2,15.90,29.90,1,15.80,29.73,4,15.83,30.22,3,15.83,30.06,6,15.66,30.47,5,15.80,30.35
2,14.14,44.04,1,14.12,43.85,4,14.05,44.27,3,14.08,44.14,5,13.99,44.46,6,14.26,44.61
2,13.51,57.55,1,13.52,57.37,5,13.46,57.73,3,13.51,57.65,4,13.26,57.72,6,13.27,57.88
3,12.62,1:10.17,2,12.63,1:10.00,5,12.66,1:10.39,1,12.35,1:10.00,4,12.55,1:10.27,6,12.91,1:10.79
2,11.41,1:21.58,3,11.63,1:21.63,5,11.43,1:21.82,1,11.52,1:21.52,4,11.38,1:21.65,6,11.50,1:22.29
2,11.88,1:33.46,4,11.91,1:33.54,5,11.82,1:33.64,1,11.84,1:33.36,3,11.83,1:33.48,6,11.57,1:33.86
2,11.56,1:45.02,3,11.58,1:45.12,5,11.76,1:45.40,1,11.53,1:44.89,4,11.64,1:45.12,6,11.93,1:45.79
3,10.83,1:55.85,1,10.32,1:55.44,5,10.80,1:56.20,2,10.86,1:55.75,4,10.83,1:55.95,6,11.86,1:57.65
3,10.28,2:06.13,1,10.47,2:05.91,5,10.50,2:06.70,2,10.26,2:06.01,4,10.30,2:06.25,6,12.14,2:09.79
3,10.32,2:16.45,1,10.32,2:16.23,5,10.72,2:17.42,2,10.32,2:16.33,4,10.30,2:16.55,6,12.36,2:22.15
3,10.31,2:26.76,1,10.41,2:26.64,5,11.04,2:28.46,2,10.40,2:26.73,4,10.49,2:27.04,6,12.45,2:34.60
1,10.38,2:37.14,3,10.65,2:37.29,5,11.74,2:40.20,2,10.46,2:37.19,4,10.76,2:37.80,6,13.27,2:47.87
1,10.24,2:47.379,2,10.74,2:48.029,5,12.39,2:52.590,3,11.17,2:48.360,4,11.45,2:49.241,6,13.05,3:00.912
