Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Shotaro TANAKA POSITION,Shotaro TANAKA LAP TIME,Shotaro TANAKA ELAPSED TIME,Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME,Artur SULTANGALIYEV POSITION,Artur SULTANGALIYEV LAP TIME,Artur SULTANGALIYEV ELAPSED TIME
1,14.120,14.120,2,14.240,14.240,3,14.300,14.300,4,14.450,14.450
1,11.720,25.850,2,11.850,26.090,3,11.790,26.100,4,11.710,26.170
1,11.160,37.010,4,11.160,37.250,3,11.080,37.180,2,10.970,37.150
1,10.450,47.460,3,10.480,47.730,2,10.460,47.650,4,10.610,47.760
3,10.150,57.610,2,9.870,57.610,1,9.850,57.510,4,10.010,57.770
2,9.960,1:07.580,3,9.980,1:07.590,1,9.940,1:07.450,4,10.090,1:07.870
3,9.790,1:17.370,1,9.650,1:17.250,2,9.820,1:17.270,4,9.780,1:17.650
3,9.770,1:27.150,2,9.760,1:27.010,1,9.680,1:26.960,4,9.700,1:27.360
2,9.810,1:36.970,3,10.020,1:37.040,1,10.000,1:36.960,4,10.100,1:37.460
