KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,DESMET Stijn POSITION,DESMET Stijn LAP TIME,DESMET Stijn ELAPSED TIME,Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME
1,12.64,12.64,2,12.73,12.73,4,12.94,12.94,3,12.82,12.82,5,12.98,12.98
2,9.76,22.40,3,9.77,22.50,4,9.67,22.61,1,9.45,22.27,5,9.77,22.75
2,9.30,31.70,3,9.29,31.79,4,9.38,31.99,1,9.36,31.63,5,9.30,32.05
2,9.23,40.93,3,9.23,41.02,4,9.14,41.13,1,9.22,40.85,5,9.20,41.25
3,9.43,50.36,2,9.27,50.29,4,9.32,50.45,1,9.37,50.22,5,9.33,50.58
1,8.98,59.34,2,9.12,59.41,4,9.13,59.58,3,9.34,59.56,5,9.13,59.71
1,8.96,1:08.30,3,9.09,1:08.50,2,8.83,1:08.41,5,20.00,1:19.56,4,8.91,1:08.62
1,8.86,1:17.16,4,9.34,1:17.84,2,8.90,1:17.31,5,15.35,1:34.91,3,8.83,1:17.45
1,8.86,1:26.02,4,9.35,1:27.19,2,9.02,1:26.33,5,12.85,1:47.76,3,9.30,1:26.75
