ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME,Marina GEORGIEVA-NIKOLOVA POSITION,Marina GEORGIEVA-NIKOLOVA LAP TIME,Marina GEORGIEVA-NIKOLOVA ELAPSED TIME,Julia RIEDEL POSITION,Julia RIEDEL LAP TIME,Julia RIEDEL ELAPSED TIME
2,14.27,14.27,3,14.42,14.42,1,14.05,14.05
2,10.15,24.42,3,10.12,24.54,1,10.24,24.29
2,10.28,34.70,3,10.25,34.79,1,10.27,34.56
2,10.31,45.01,3,10.33,45.12,1,10.32,44.88
2,10.41,55.42,3,10.39,55.51,1,10.40,55.28
1,10.35,1:05.77,3,10.51,1:06.02,2,10.58,1:05.86
1,10.14,1:15.91,2,10.18,1:16.20,3,10.67,1:16.53
1,10.14,1:26.05,2,10.00,1:26.20,3,10.69,1:27.22
1,10.42,1:36.465,2,10.67,1:36.864,3,11.00,1:38.211
