Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME,LIN Meng POSITION,LIN Meng LAP TIME,LIN Meng ELAPSED TIME,CHO Ha-Ri POSITION,CHO Ha-Ri LAP TIME,CHO Ha-Ri ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME,Andrea DO-DUC POSITION,Andrea DO-DUC LAP TIME,Andrea DO-DUC ELAPSED TIME
1,9.20,9.20,2,9.40,9.40,3,9.52,9.52,5,9.83,9.83,6,9.98,9.98,4,9.70,9.70
1,14.55,23.75,2,14.56,23.96,3,14.56,24.08,5,14.53,24.36,6,14.62,24.60,4,14.54,24.24
1,14.20,37.95,2,14.19,38.15,3,14.15,38.23,5,14.12,38.48,6,14.01,38.61,4,14.07,38.31
3,13.55,51.50,2,13.32,51.47,4,13.43,51.66,6,13.45,51.93,1,12.68,51.29,5,13.47,51.78
4,11.46,1:02.96,3,11.37,1:02.84,2,11.16,1:02.82,6,11.30,1:03.23,1,11.44,1:02.73,5,11.25,1:03.03
1,10.03,1:12.99,5,10.44,1:13.28,2,10.24,1:13.06,6,10.13,1:13.36,4,10.43,1:13.16,3,10.05,1:13.08
2,10.04,1:23.03,4,9.94,1:23.22,3,10.06,1:23.12,6,10.05,1:23.41,5,10.07,1:23.23,1,9.83,1:22.91
3,9.87,1:32.90,1,9.62,1:32.84,4,9.89,1:33.01,6,12.04,1:35.45,5,10.00,1:33.23,2,9.94,1:32.85
3,9.83,1:42.73,1,9.63,1:42.47,4,9.82,1:42.83,6,24.64,2:00.09,5,9.73,1:42.96,2,9.77,1:42.62
3,10.18,1:52.91,1,10.26,1:52.73,4,10.21,1:53.04,6,15.07,2:15.16,5,10.21,1:53.17,2,10.24,1:52.86
3,10.48,2:03.39,1,10.53,2:03.26,4,10.51,2:03.55,6,11.98,2:27.14,5,10.49,2:03.66,2,10.51,2:03.37
2,9.97,2:13.36,1,10.01,2:13.27,3,9.88,2:13.43,6,11.37,2:38.51,5,10.00,2:13.66,4,10.28,2:13.65
3,9.86,2:23.22,2,9.86,2:23.13,1,9.51,2:22.94,6,11.18,2:49.69,4,9.66,2:23.32,5,10.40,2:24.05
3,9.81,2:33.026,2,9.83,2:32.955,1,9.70,2:32.638,6,11.19,3:00.880,4,9.80,2:33.119,5,10.66,2:34.710
